88,"SELECT   p.objid,p.ra,p.dec,p.r,   s.specobjid,s.z,   dbo.fSpecZWarningN(s.zWarning) as warning,   s.plate, s.mjd, s.fiberid   FROM PhotoObj AS p   JOIN SpecObj AS s ON s.bestobjid = p.objid   WHERE   p.ra < #+# and p.ra > #-#   AND p.dec < #+# and p.dec > #-#"
2019-01-08 04:41:00,4
2019-01-08 04:42:00,7
2019-01-08 04:43:00,7
2019-01-08 04:44:00,6
2019-01-08 04:45:00,7
2019-01-08 04:46:00,7
2019-01-08 04:47:00,7
2019-01-08 04:48:00,7
2019-01-08 04:49:00,7
2019-01-08 04:50:00,7
2019-01-08 04:51:00,8
2019-01-08 04:52:00,7
2019-01-08 04:53:00,7
