136,"select name,ucd from dbcolumns where tablename = &&& and ( name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&&)"
2019-01-08 00:58:00,1
2019-01-08 01:58:00,1
2019-01-08 02:10:00,1
2019-01-08 02:32:00,1
2019-01-08 02:58:00,1
2019-01-08 03:50:00,1
2019-01-08 03:58:00,1
2019-01-08 04:57:00,1
2019-01-08 05:32:00,9
2019-01-08 05:58:00,1
2019-01-08 06:00:00,9
2019-01-08 06:05:00,1
2019-01-08 06:58:00,1
2019-01-08 07:57:00,1
2019-01-08 08:02:00,9
2019-01-08 08:06:00,3
2019-01-08 08:07:00,3
2019-01-08 08:08:00,1
2019-01-08 08:57:00,1
2019-01-08 09:57:00,1
2019-01-08 10:57:00,1
2019-01-08 11:57:00,1
2019-01-08 12:08:00,7
2019-01-08 12:56:00,9
2019-01-08 12:58:00,1
2019-01-08 13:03:00,9
2019-01-08 13:52:00,9
2019-01-08 13:55:00,9
2019-01-08 13:57:00,1
2019-01-08 14:56:00,1
2019-01-08 14:57:00,1
2019-01-08 15:02:00,9
2019-01-08 15:04:00,1
2019-01-08 15:36:00,7
2019-01-08 15:58:00,1
2019-01-08 16:57:00,1
2019-01-08 17:58:00,1
2019-01-08 18:06:00,9
2019-01-08 18:45:00,9
2019-01-08 18:58:00,1
