10,"SELECT TOP # emline.fiberid as fiberID, emline.ra, emline.dec,  emline.z as z_noqso, emline.zerr as z_noqso_err,  emline.sigmaStars as emline_vdisp, emline.sigmaStarsErr as emline_vdisp_err,  pca.vdisp_median as pca_vdisp, pca.vdisp_err as pca_vdisp_err,  sp.veldisp as sp_vdisp, sp.veldisperr as sp_vdisp_err  FROM emissionLinesPort AS emline  JOIN stellarMassPCAWisc AS pca ON emline.specobjid = pca.specobjid  JOIN specObj as sp ON emline.specobjid = sp.specobjid  WHERE emline.plate = # AND emline.mjd = # AND pca.warning=#"
2019-01-08 02:07:00,1
2019-01-08 03:28:00,1
2019-01-08 03:45:00,1
2019-01-08 04:30:00,1
2019-01-08 06:26:00,1
2019-01-08 06:54:00,1
2019-01-08 07:27:00,1
2019-01-08 08:40:00,1
2019-01-08 08:46:00,1
2019-01-08 17:31:00,1
