25,"select p.run, p.camcol, p.field from STAR as p   inner join dbo.fGetNearbyObjEq(#,#,#) as N on p.objid = N.objid"
2019-01-08 10:22:00,1
2019-01-08 10:33:00,1
2019-01-08 10:37:00,1
2019-01-08 11:09:00,1
2019-01-08 11:45:00,1
2019-01-08 11:48:00,1
2019-01-08 11:51:00,1
2019-01-08 12:16:00,1
2019-01-08 12:22:00,1
2019-01-08 12:28:00,1
2019-01-08 12:34:00,1
2019-01-08 12:51:00,1
2019-01-08 12:53:00,3
2019-01-08 12:54:00,3
2019-01-08 12:56:00,2
2019-01-08 12:57:00,1
2019-01-08 13:01:00,1
2019-01-08 13:10:00,1
2019-01-08 13:18:00,1
2019-01-08 13:26:00,1
