149,"SELECT DISTINCT p.ra, p.dec, p.objid, p.run, p.rerun, p.camcol, p.field, s.z, s.plate, s.mjd, s.fiberID, s.specobjid, s.run2d, s.instrument FROM PhotoObjAll AS p JOIN SpecObjAll s ON p.objID = s.bestObjID WHERE (s.plate=# AND s.mjd=# AND s.fiberid=#)"
2019-01-08 14:06:00,1
2019-01-08 15:00:00,3
2019-01-08 15:05:00,2
2019-01-08 15:06:00,3
2019-01-08 15:07:00,5
2019-01-08 15:20:00,19
2019-01-08 15:21:00,20
2019-01-08 15:22:00,18
2019-01-08 15:23:00,22
2019-01-08 15:24:00,19
2019-01-08 15:25:00,21
2019-01-08 15:26:00,14
2019-01-08 15:32:00,1
2019-01-08 21:20:00,1
