56,"select p.ObjID, p.ra, p.dec, p.u, p.Err_u, p.g, p.Err_g, p.r, p.Err_r, p.i,p.Err_i, p.z, p.Err_z from photoObj p, dbo.fGetNearbyObjEq(#,#,#) n where p.objID = n.objID AND p.type = #"
2019-01-08 01:47:00,1
2019-01-08 01:49:00,1
2019-01-08 01:57:00,1
2019-01-08 02:06:00,1
2019-01-08 02:08:00,1
2019-01-08 02:12:00,1
2019-01-08 02:20:00,1
2019-01-08 02:22:00,1
2019-01-08 02:24:00,1
2019-01-08 02:33:00,1
2019-01-08 02:37:00,1
2019-01-08 02:45:00,1
2019-01-08 02:55:00,1
2019-01-08 02:59:00,1
2019-01-08 03:09:00,1
2019-01-08 03:11:00,1
2019-01-08 03:13:00,1
2019-01-08 03:16:00,1
2019-01-08 03:18:00,1
2019-01-08 03:21:00,1
2019-01-08 03:22:00,1
2019-01-08 03:24:00,1
2019-01-08 03:27:00,1
2019-01-08 03:29:00,1
2019-01-08 03:31:00,1
2019-01-08 03:33:00,1
2019-01-08 03:35:00,1
2019-01-08 03:38:00,1
2019-01-08 03:42:00,1
2019-01-08 03:47:00,1
2019-01-08 03:52:00,1
2019-01-08 03:57:00,1
2019-01-08 04:02:00,1
2019-01-08 04:07:00,1
2019-01-08 04:14:00,1
2019-01-08 04:19:00,1
2019-01-08 04:24:00,1
2019-01-08 04:27:00,1
2019-01-08 04:30:00,1
2019-01-08 04:57:00,1
2019-01-08 04:59:00,1
2019-01-08 05:06:00,1
2019-01-08 05:07:00,1
2019-01-08 05:09:00,2
2019-01-08 05:11:00,1
2019-01-08 05:12:00,1
2019-01-08 05:19:00,1
2019-01-08 05:20:00,1
2019-01-08 05:21:00,1
2019-01-08 06:33:00,1
2019-01-08 06:37:00,1
2019-01-08 06:40:00,1
2019-01-08 06:51:00,1
2019-01-08 06:58:00,1
2019-01-08 07:04:00,1
