2,"SELECT    p.objid as objid, p.ra, p.dec, p.psfMag_r, p.psfMag_g, p.psfMag_i, p.psfMag_z   into mydb.micadostars FROM PhotoObj as p WHERE   p.type = #  AND p.psfMag_g < #"
2019-07-12 09:13:00,1
2019-07-12 09:17:00,1
