12,"SELECT p.objId, p.ra, p.dec, p.petror9#_r, p.expAB_r,     p.dered_u as u, p.dered_g as g, p.dered_r as r, p.dered_i as i,     s.z, s.plate, s.mjd, s.fiberid, s.velDisp, n.sersic_n FROM galaxy AS p     JOIN SpecObj AS s ON s.bestobjid = p.objid     JOIN nsatlas AS n ON n.mjd = s.mjd and n.fiberID = s.fiberID and n.plate = s.plate"
2019-07-12 09:49:00,1
2019-07-12 09:52:00,1
2019-07-12 09:54:00,1
2019-07-12 09:58:00,1
2019-07-12 10:07:00,1
2019-07-12 11:29:00,1
2019-07-12 11:34:00,1
2019-07-12 11:37:00,1
2019-07-12 11:38:00,1
2019-07-12 12:39:00,1
2019-07-12 12:47:00,1
2019-07-12 14:06:00,1
