1364,"SELECT  &&& + cast(p.objId as varchar(#)) + &&& + cast(p.objId as varchar(#)) + &&& as objID,    p.run, p.rerun, p.camcol, p.field, p.obj,    p.type, p.ra, p.dec, p.u,p.g,p.r,p.i,p.z,    p.Err_u, p.Err_g, p.Err_r,p.Err_i,p.Err_z    FROM fGetNearbyObjEq(#,#,#) n, PhotoPrimary p    WHERE n.objID=p.objID"
2019-07-12 00:00:00,1
2019-07-12 00:04:00,6
2019-07-12 00:06:00,1
2019-07-12 00:08:00,1
2019-07-12 00:10:00,1
2019-07-12 00:14:00,5
2019-07-12 00:15:00,1
2019-07-12 00:16:00,1
2019-07-12 00:18:00,1
2019-07-12 00:20:00,1
2019-07-12 00:24:00,5
2019-07-12 00:25:00,1
2019-07-12 00:26:00,1
2019-07-12 00:28:00,1
2019-07-12 00:30:00,1
2019-07-12 00:34:00,5
2019-07-12 00:35:00,1
2019-07-12 00:36:00,1
2019-07-12 00:38:00,1
2019-07-12 00:40:00,1
2019-07-12 00:44:00,5
2019-07-12 00:45:00,1
2019-07-12 00:46:00,1
2019-07-12 00:48:00,1
2019-07-12 00:50:00,1
2019-07-12 00:54:00,5
2019-07-12 00:55:00,1
2019-07-12 00:56:00,1
2019-07-12 00:58:00,1
2019-07-12 01:00:00,1
2019-07-12 01:04:00,5
2019-07-12 01:05:00,1
2019-07-12 01:06:00,1
2019-07-12 01:08:00,1
2019-07-12 01:10:00,1
2019-07-12 01:14:00,5
2019-07-12 01:15:00,1
2019-07-12 01:16:00,1
2019-07-12 01:18:00,1
2019-07-12 01:20:00,1
2019-07-12 01:24:00,5
2019-07-12 01:25:00,1
2019-07-12 01:26:00,2
2019-07-12 01:28:00,1
2019-07-12 01:30:00,1
2019-07-12 01:34:00,5
2019-07-12 01:35:00,1
2019-07-12 01:36:00,1
2019-07-12 01:38:00,1
2019-07-12 01:40:00,1
2019-07-12 01:44:00,5
2019-07-12 01:45:00,1
2019-07-12 01:46:00,5
2019-07-12 01:48:00,1
2019-07-12 01:50:00,1
2019-07-12 01:54:00,1
2019-07-12 01:55:00,1
2019-07-12 01:56:00,3
2019-07-12 01:57:00,2
2019-07-12 01:58:00,3
2019-07-12 02:00:00,1
2019-07-12 02:04:00,1
2019-07-12 02:05:00,1
2019-07-12 02:06:00,5
2019-07-12 02:08:00,1
2019-07-12 02:10:00,1
2019-07-12 02:14:00,1
2019-07-12 02:15:00,1
2019-07-12 02:16:00,5
2019-07-12 02:18:00,2
2019-07-12 02:20:00,1
2019-07-12 02:24:00,1
2019-07-12 02:25:00,1
2019-07-12 02:26:00,5
2019-07-12 02:28:00,1
2019-07-12 02:30:00,1
2019-07-12 02:34:00,1
2019-07-12 02:35:00,1
2019-07-12 02:36:00,5
2019-07-12 02:38:00,1
2019-07-12 02:40:00,1
2019-07-12 02:44:00,1
2019-07-12 02:45:00,1
2019-07-12 02:46:00,3
2019-07-12 02:47:00,2
2019-07-12 02:48:00,2
2019-07-12 02:50:00,1
2019-07-12 02:52:00,1
2019-07-12 02:54:00,1
2019-07-12 02:55:00,1
2019-07-12 02:56:00,3
2019-07-12 02:57:00,2
2019-07-12 03:00:00,1
2019-07-12 03:02:00,2
2019-07-12 03:04:00,1
2019-07-12 03:05:00,1
2019-07-12 03:06:00,3
2019-07-12 03:07:00,2
2019-07-12 03:10:00,1
2019-07-12 03:12:00,1
2019-07-12 03:14:00,1
2019-07-12 03:15:00,1
2019-07-12 03:16:00,3
2019-07-12 03:17:00,2
2019-07-12 03:20:00,1
2019-07-12 03:22:00,1
2019-07-12 03:24:00,1
2019-07-12 03:25:00,1
2019-07-12 03:26:00,3
2019-07-12 03:27:00,2
2019-07-12 03:30:00,1
2019-07-12 03:32:00,2
2019-07-12 03:34:00,1
2019-07-12 03:35:00,1
2019-07-12 03:36:00,2
2019-07-12 03:37:00,3
2019-07-12 03:40:00,1
2019-07-12 03:42:00,1
2019-07-12 03:44:00,1
2019-07-12 03:45:00,1
2019-07-12 03:46:00,2
2019-07-12 03:47:00,3
2019-07-12 03:50:00,2
2019-07-12 03:52:00,1
2019-07-12 03:54:00,1
2019-07-12 03:55:00,1
2019-07-12 03:56:00,2
2019-07-12 03:57:00,3
2019-07-12 04:00:00,1
2019-07-12 04:02:00,1
2019-07-12 04:04:00,1
2019-07-12 04:05:00,1
2019-07-12 04:06:00,1
2019-07-12 04:07:00,4
2019-07-12 04:10:00,1
2019-07-12 04:12:00,2
2019-07-12 04:14:00,1
2019-07-12 04:15:00,1
2019-07-12 04:16:00,1
2019-07-12 04:17:00,4
2019-07-12 04:20:00,2
2019-07-12 04:22:00,2
2019-07-12 04:24:00,1
2019-07-12 04:25:00,1
2019-07-12 04:26:00,1
2019-07-12 04:27:00,3
2019-07-12 04:30:00,1
2019-07-12 04:32:00,1
2019-07-12 04:34:00,1
2019-07-12 04:35:00,1
2019-07-12 04:36:00,1
2019-07-12 04:37:00,3
2019-07-12 04:40:00,1
2019-07-12 04:42:00,1
2019-07-12 04:44:00,1
2019-07-12 04:45:00,1
2019-07-12 04:46:00,1
2019-07-12 04:47:00,4
2019-07-12 04:50:00,2
2019-07-12 04:53:00,1
2019-07-12 04:54:00,1
2019-07-12 04:55:00,1
2019-07-12 04:56:00,1
2019-07-12 04:57:00,3
2019-07-12 05:00:00,1
2019-07-12 05:03:00,1
2019-07-12 05:04:00,1
2019-07-12 05:05:00,1
2019-07-12 05:06:00,1
2019-07-12 05:07:00,4
2019-07-12 05:10:00,1
2019-07-12 05:13:00,1
2019-07-12 05:14:00,1
2019-07-12 05:15:00,1
2019-07-12 05:16:00,1
2019-07-12 05:17:00,4
2019-07-12 05:20:00,2
2019-07-12 05:23:00,1
2019-07-12 05:24:00,1
2019-07-12 05:25:00,1
2019-07-12 05:26:00,1
2019-07-12 05:27:00,4
2019-07-12 05:30:00,1
2019-07-12 05:33:00,1
2019-07-12 05:34:00,1
2019-07-12 05:35:00,1
2019-07-12 05:36:00,1
2019-07-12 05:37:00,4
2019-07-12 05:40:00,2
2019-07-12 05:43:00,1
2019-07-12 05:44:00,1
2019-07-12 05:45:00,1
2019-07-12 05:46:00,1
2019-07-12 05:47:00,4
2019-07-12 05:50:00,1
2019-07-12 05:53:00,1
2019-07-12 05:54:00,1
2019-07-12 05:55:00,1
2019-07-12 05:56:00,1
2019-07-12 05:57:00,4
2019-07-12 06:00:00,1
2019-07-12 06:03:00,1
2019-07-12 06:04:00,1
2019-07-12 06:05:00,1
2019-07-12 06:06:00,1
2019-07-12 06:07:00,4
2019-07-12 06:10:00,1
2019-07-12 06:13:00,1
2019-07-12 06:14:00,1
2019-07-12 06:15:00,1
2019-07-12 06:16:00,1
2019-07-12 06:17:00,4
2019-07-12 06:20:00,1
2019-07-12 06:23:00,1
2019-07-12 06:24:00,1
2019-07-12 06:25:00,1
2019-07-12 06:26:00,1
2019-07-12 06:27:00,4
2019-07-12 06:30:00,1
2019-07-12 06:33:00,1
2019-07-12 06:34:00,1
2019-07-12 06:35:00,1
2019-07-12 06:36:00,1
2019-07-12 06:37:00,4
2019-07-12 06:40:00,1
2019-07-12 06:43:00,1
2019-07-12 06:44:00,1
2019-07-12 06:45:00,1
2019-07-12 06:46:00,1
2019-07-12 06:47:00,4
2019-07-12 06:50:00,1
2019-07-12 06:53:00,1
2019-07-12 06:54:00,1
2019-07-12 06:55:00,1
2019-07-12 06:56:00,1
2019-07-12 06:57:00,4
2019-07-12 07:00:00,1
2019-07-12 07:03:00,1
2019-07-12 07:04:00,1
2019-07-12 07:05:00,1
2019-07-12 07:06:00,1
2019-07-12 07:07:00,4
2019-07-12 07:11:00,1
2019-07-12 07:13:00,1
2019-07-12 07:14:00,1
2019-07-12 07:15:00,1
2019-07-12 07:16:00,1
2019-07-12 07:17:00,4
2019-07-12 07:20:00,1
2019-07-12 07:23:00,1
2019-07-12 07:24:00,1
2019-07-12 07:25:00,1
2019-07-12 07:26:00,1
2019-07-12 07:27:00,4
2019-07-12 07:30:00,1
2019-07-12 07:33:00,1
2019-07-12 07:34:00,1
2019-07-12 07:35:00,1
2019-07-12 07:36:00,1
2019-07-12 07:37:00,4
2019-07-12 07:40:00,1
2019-07-12 07:43:00,1
2019-07-12 07:44:00,1
2019-07-12 07:45:00,1
2019-07-12 07:46:00,1
2019-07-12 07:47:00,4
2019-07-12 07:50:00,1
2019-07-12 07:53:00,1
2019-07-12 07:54:00,1
2019-07-12 07:55:00,1
2019-07-12 07:56:00,1
2019-07-12 07:57:00,4
2019-07-12 08:00:00,1
2019-07-12 08:03:00,1
2019-07-12 08:04:00,1
2019-07-12 08:05:00,1
2019-07-12 08:06:00,1
2019-07-12 08:07:00,4
2019-07-12 08:10:00,1
2019-07-12 08:13:00,1
2019-07-12 08:14:00,1
2019-07-12 08:15:00,1
2019-07-12 08:16:00,1
2019-07-12 08:17:00,4
2019-07-12 08:21:00,1
2019-07-12 08:23:00,1
2019-07-12 08:24:00,1
2019-07-12 08:25:00,1
2019-07-12 08:26:00,1
2019-07-12 08:27:00,4
2019-07-12 08:31:00,1
2019-07-12 08:33:00,1
2019-07-12 08:34:00,1
2019-07-12 08:35:00,1
2019-07-12 08:36:00,1
2019-07-12 08:37:00,4
2019-07-12 08:41:00,1
2019-07-12 08:43:00,1
2019-07-12 08:44:00,1
2019-07-12 08:45:00,1
2019-07-12 08:46:00,1
2019-07-12 08:47:00,4
2019-07-12 08:51:00,2
2019-07-12 08:53:00,1
2019-07-12 08:54:00,1
2019-07-12 08:55:00,1
2019-07-12 08:56:00,1
2019-07-12 08:57:00,4
2019-07-12 09:01:00,2
2019-07-12 09:03:00,1
2019-07-12 09:04:00,1
2019-07-12 09:05:00,1
2019-07-12 09:06:00,1
2019-07-12 09:07:00,4
2019-07-12 09:11:00,3
2019-07-12 09:13:00,1
2019-07-12 09:14:00,1
2019-07-12 09:15:00,1
2019-07-12 09:16:00,1
2019-07-12 09:17:00,4
2019-07-12 09:21:00,1
