6,"select s.ra, s.dec, s.z, g.u, g.g, g.r, g.i, g.z,g.objid, s.specobjid, g.specobjid from specobj as s  join galaxy as g on g.specobjid=s.specobjid where s.ra between # and # and s.dec between # and # and s.z between # and # and class= &&&"
2019-07-12 14:24:00,1
2019-07-12 14:35:00,2
2019-07-12 16:41:00,1
2019-07-12 16:51:00,1
2019-07-12 16:52:00,1
