119,"select name,ucd from dbcolumns where tablename = &&& and ( name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&&)"
2019-07-12 00:25:00,9
2019-07-12 01:45:00,1
2019-07-12 02:45:00,1
2019-07-12 03:03:00,1
2019-07-12 03:06:00,1
2019-07-12 03:45:00,1
2019-07-12 04:45:00,1
2019-07-12 04:52:00,1
2019-07-12 05:17:00,9
2019-07-12 05:45:00,1
2019-07-12 06:46:00,1
2019-07-12 07:31:00,9
2019-07-12 07:45:00,1
2019-07-12 08:45:00,1
2019-07-12 09:45:00,1
2019-07-12 10:45:00,1
2019-07-12 11:44:00,1
2019-07-12 11:45:00,2
2019-07-12 12:45:00,1
2019-07-12 13:45:00,1
2019-07-12 13:46:00,1
2019-07-12 13:55:00,1
2019-07-12 13:58:00,9
2019-07-12 13:59:00,9
2019-07-12 14:17:00,3
2019-07-12 14:28:00,1
2019-07-12 14:45:00,1
2019-07-12 15:18:00,5
2019-07-12 15:19:00,2
2019-07-12 15:38:00,1
2019-07-12 15:45:00,1
2019-07-12 16:06:00,1
2019-07-12 16:17:00,1
2019-07-12 16:33:00,9
2019-07-12 16:46:00,1
2019-07-12 17:03:00,9
2019-07-12 17:35:00,7
2019-07-12 17:45:00,1
2019-07-12 18:45:00,1
2019-07-12 19:27:00,9
2019-07-12 19:45:00,1
