2552,"SELECT DISTINCT p.ra, p.dec, p.objid, p.run, p.rerun, p.camcol, p.field FROM PhotoObjAll AS p WHERE ((p.ra between # and #) and (p.dec between # and #))"
2019-08-02 01:24:00,1
2019-08-02 01:25:00,1
2019-08-02 02:19:00,1
2019-08-02 04:08:00,1
2019-08-02 04:10:00,1
2019-08-02 16:52:00,6
2019-08-02 16:53:00,15
2019-08-02 16:54:00,24
2019-08-02 16:55:00,24
2019-08-02 16:56:00,39
2019-08-02 16:57:00,38
2019-08-02 16:58:00,13
2019-08-02 16:59:00,14
2019-08-02 17:00:00,21
2019-08-02 17:01:00,11
2019-08-02 17:02:00,41
2019-08-02 17:03:00,1
2019-08-02 17:04:00,4
2019-08-02 17:05:00,8
2019-08-02 17:06:00,29
2019-08-02 17:07:00,26
2019-08-02 17:08:00,9
2019-08-02 17:09:00,37
2019-08-02 17:10:00,8
2019-08-02 17:11:00,68
2019-08-02 17:16:00,5
2019-08-02 17:17:00,16
2019-08-02 17:18:00,33
2019-08-02 17:19:00,13
2019-08-02 17:20:00,11
2019-08-02 17:21:00,27
2019-08-02 17:22:00,20
2019-08-02 17:23:00,11
2019-08-02 17:24:00,13
2019-08-02 17:25:00,15
2019-08-02 17:26:00,16
2019-08-02 17:27:00,3
2019-08-02 17:28:00,17
2019-08-02 17:30:00,30
2019-08-02 17:31:00,101
2019-08-02 17:32:00,83
2019-08-02 17:33:00,42
2019-08-02 17:34:00,94
2019-08-02 17:35:00,112
2019-08-02 17:36:00,44
2019-08-02 17:37:00,141
2019-08-02 17:38:00,129
2019-08-02 17:39:00,111
2019-08-02 17:40:00,72
2019-08-02 17:41:00,64
2019-08-02 17:42:00,15
2019-08-02 17:43:00,128
2019-08-02 17:44:00,76
2019-08-02 17:45:00,36
2019-08-02 17:46:00,144
2019-08-02 17:47:00,80
2019-08-02 17:48:00,131
2019-08-02 17:49:00,133
2019-08-02 17:50:00,145
