11,"SELECT g,r,i,ra,dec, flags_r FROM Star WHERE  ra BETWEEN # and # AND dec BETWEEN # and #  AND ((flags_r & #) != #)   AND ((flags_r & #) = #)   AND (((flags_r & #) = #) or (psfmagerr_r <= #))   AND (((flags_r & #) = #) or (flags_r & #) = #)"
2019-08-02 10:50:00,1
2019-08-02 10:55:00,1
2019-08-02 10:56:00,1
2019-08-02 10:59:00,1
2019-08-02 11:01:00,1
2019-08-02 11:03:00,1
2019-08-02 11:04:00,1
2019-08-02 11:06:00,1
2019-08-02 11:07:00,1
2019-08-02 11:09:00,1
2019-08-02 11:10:00,1
