52,"SELECT ra,dec,u,err_u,g,err_g,r,err_r,i,err_i,z,err_z FROM Star WHERE ra BETWEEN # AND # AND dec BETWEEN # and # AND g<#"
2019-08-02 15:47:00,1
2019-08-02 15:49:00,1
2019-08-02 15:50:00,1
2019-08-02 15:53:00,1
2019-08-02 15:54:00,1
2019-08-02 15:55:00,1
2019-08-02 16:00:00,1
2019-08-02 16:01:00,1
2019-08-02 16:05:00,1
2019-08-02 16:10:00,1
2019-08-02 16:13:00,1
2019-08-02 16:22:00,1
2019-08-02 16:25:00,1
2019-08-02 16:33:00,1
2019-08-02 16:40:00,1
2019-08-02 16:44:00,1
2019-08-02 16:48:00,1
2019-08-02 16:51:00,1
2019-08-02 16:56:00,1
2019-08-02 17:03:00,1
2019-08-02 17:10:00,1
2019-08-02 17:13:00,1
2019-08-02 17:21:00,1
2019-08-02 18:22:00,1
2019-08-02 18:38:00,1
2019-08-02 18:52:00,1
2019-08-02 19:05:00,1
2019-08-02 19:15:00,1
2019-08-02 19:17:00,1
2019-08-02 19:21:00,1
2019-08-02 19:33:00,1
2019-08-02 19:37:00,1
2019-08-02 19:50:00,1
2019-08-02 19:55:00,1
2019-08-02 20:02:00,1
2019-08-02 20:25:00,1
2019-08-02 20:28:00,1
2019-08-02 20:32:00,1
2019-08-02 20:36:00,1
2019-08-02 20:38:00,1
2019-08-02 20:42:00,1
2019-08-02 20:56:00,1
2019-08-02 21:31:00,1
2019-08-02 22:16:00,1
2019-08-02 22:44:00,1
2019-08-02 22:45:00,1
2019-08-02 22:55:00,1
2019-08-02 23:09:00,1
2019-08-02 23:27:00,1
2019-08-02 23:34:00,1
2019-08-02 23:40:00,1
2019-08-02 23:50:00,1
