211,"SELECT dbo.fInFootprintEq( #, #, # )"
2019-08-02 06:12:00,2
2019-08-02 06:13:00,3
2019-08-02 06:14:00,3
2019-08-02 06:15:00,2
2019-08-02 06:16:00,3
2019-08-02 06:17:00,2
2019-08-02 06:18:00,3
2019-08-02 06:19:00,3
2019-08-02 06:20:00,2
2019-08-02 06:21:00,3
2019-08-02 06:22:00,2
2019-08-02 06:23:00,3
2019-08-02 06:24:00,3
2019-08-02 06:25:00,2
2019-08-02 06:26:00,3
2019-08-02 06:27:00,2
2019-08-02 06:28:00,3
2019-08-02 06:29:00,3
2019-08-02 06:30:00,2
2019-08-02 06:31:00,3
2019-08-02 06:32:00,3
2019-08-02 06:33:00,2
2019-08-02 06:34:00,3
2019-08-02 06:35:00,2
2019-08-02 06:36:00,3
2019-08-02 06:37:00,2
2019-08-02 06:38:00,3
2019-08-02 06:39:00,2
2019-08-02 06:40:00,3
2019-08-02 06:41:00,3
2019-08-02 06:42:00,2
2019-08-02 06:43:00,3
2019-08-02 06:44:00,3
2019-08-02 06:45:00,2
2019-08-02 06:46:00,3
2019-08-02 06:47:00,2
2019-08-02 06:48:00,3
2019-08-02 06:49:00,2
2019-08-02 06:50:00,3
2019-08-02 06:51:00,3
2019-08-02 06:52:00,2
2019-08-02 06:53:00,3
2019-08-02 06:54:00,2
2019-08-02 06:55:00,3
2019-08-02 06:56:00,3
2019-08-02 06:57:00,2
2019-08-02 06:58:00,3
2019-08-02 06:59:00,3
2019-08-02 07:00:00,2
2019-08-02 07:01:00,3
2019-08-02 07:02:00,2
2019-08-02 07:03:00,3
2019-08-02 07:04:00,3
2019-08-02 07:05:00,2
2019-08-02 07:06:00,3
2019-08-02 07:07:00,3
2019-08-02 07:08:00,2
2019-08-02 07:09:00,3
2019-08-02 07:10:00,2
2019-08-02 07:11:00,3
2019-08-02 07:12:00,3
2019-08-02 07:13:00,2
2019-08-02 07:14:00,3
2019-08-02 07:15:00,2
2019-08-02 07:16:00,3
2019-08-02 07:17:00,3
2019-08-02 07:18:00,2
2019-08-02 07:19:00,3
2019-08-02 07:20:00,2
2019-08-02 07:21:00,3
2019-08-02 07:22:00,3
2019-08-02 07:23:00,2
2019-08-02 07:24:00,3
2019-08-02 07:25:00,2
2019-08-02 07:26:00,3
2019-08-02 07:27:00,3
2019-08-02 07:28:00,2
2019-08-02 07:29:00,3
2019-08-02 07:30:00,3
2019-08-02 07:31:00,2
2019-08-02 07:32:00,3
