280,select * from dbo.fDocColumns(&&&)
2019-08-02 00:02:00,2
2019-08-02 00:25:00,1
2019-08-02 00:42:00,1
2019-08-02 00:46:00,1
2019-08-02 01:24:00,2
2019-08-02 01:25:00,2
2019-08-02 01:39:00,1
2019-08-02 01:42:00,2
2019-08-02 01:50:00,1
2019-08-02 01:56:00,1
2019-08-02 02:02:00,1
2019-08-02 02:57:00,2
2019-08-02 03:09:00,1
2019-08-02 03:14:00,2
2019-08-02 03:35:00,1
2019-08-02 04:08:00,2
2019-08-02 04:10:00,2
2019-08-02 04:12:00,1
2019-08-02 04:24:00,1
2019-08-02 04:31:00,1
2019-08-02 04:33:00,1
2019-08-02 05:24:00,1
2019-08-02 06:05:00,1
2019-08-02 06:13:00,2
2019-08-02 06:20:00,1
2019-08-02 06:33:00,1
2019-08-02 06:45:00,1
2019-08-02 06:57:00,1
2019-08-02 07:00:00,1
2019-08-02 07:19:00,2
2019-08-02 07:31:00,1
2019-08-02 07:44:00,1
2019-08-02 07:57:00,2
2019-08-02 07:59:00,1
2019-08-02 08:03:00,1
2019-08-02 08:04:00,1
2019-08-02 08:07:00,1
2019-08-02 08:08:00,1
2019-08-02 08:09:00,2
2019-08-02 08:11:00,2
2019-08-02 08:12:00,1
2019-08-02 08:13:00,2
2019-08-02 08:14:00,1
2019-08-02 08:15:00,2
2019-08-02 08:16:00,2
2019-08-02 08:18:00,1
2019-08-02 08:20:00,1
2019-08-02 08:22:00,2
2019-08-02 08:23:00,4
2019-08-02 08:24:00,1
2019-08-02 08:26:00,2
2019-08-02 08:28:00,1
2019-08-02 08:29:00,2
2019-08-02 08:31:00,2
2019-08-02 08:32:00,2
2019-08-02 08:33:00,1
2019-08-02 08:34:00,4
2019-08-02 08:35:00,2
2019-08-02 08:36:00,5
2019-08-02 08:39:00,4
2019-08-02 08:40:00,1
2019-08-02 08:46:00,2
2019-08-02 08:47:00,3
2019-08-02 08:49:00,1
2019-08-02 08:50:00,4
2019-08-02 08:51:00,3
2019-08-02 08:55:00,3
2019-08-02 08:56:00,2
2019-08-02 08:58:00,1
2019-08-02 09:01:00,2
2019-08-02 09:02:00,3
2019-08-02 09:03:00,4
2019-08-02 09:04:00,4
2019-08-02 09:08:00,4
2019-08-02 09:09:00,4
2019-08-02 09:10:00,2
2019-08-02 09:27:00,2
2019-08-02 09:39:00,2
2019-08-02 10:06:00,1
2019-08-02 10:09:00,1
2019-08-02 10:40:00,1
2019-08-02 10:42:00,2
2019-08-02 10:47:00,1
2019-08-02 10:48:00,1
2019-08-02 11:08:00,1
2019-08-02 11:13:00,1
2019-08-02 11:14:00,3
2019-08-02 11:16:00,2
2019-08-02 11:17:00,1
2019-08-02 11:19:00,2
2019-08-02 11:20:00,1
2019-08-02 11:21:00,1
2019-08-02 11:26:00,1
2019-08-02 11:34:00,1
2019-08-02 11:40:00,1
2019-08-02 11:41:00,1
2019-08-02 11:42:00,1
2019-08-02 11:46:00,1
2019-08-02 11:54:00,1
2019-08-02 11:55:00,1
2019-08-02 11:56:00,1
2019-08-02 12:31:00,1
2019-08-02 12:38:00,2
2019-08-02 13:26:00,1
2019-08-02 13:34:00,1
2019-08-02 13:44:00,1
2019-08-02 14:01:00,2
2019-08-02 14:36:00,1
2019-08-02 14:58:00,2
2019-08-02 15:14:00,1
2019-08-02 16:22:00,2
2019-08-02 16:31:00,2
2019-08-02 16:53:00,1
2019-08-02 16:55:00,2
2019-08-02 17:23:00,1
2019-08-02 17:27:00,2
2019-08-02 17:32:00,1
2019-08-02 17:38:00,1
2019-08-02 17:43:00,1
2019-08-02 18:00:00,2
2019-08-02 18:04:00,3
2019-08-02 18:06:00,1
2019-08-02 18:07:00,1
2019-08-02 18:13:00,1
2019-08-02 18:16:00,1
2019-08-02 18:20:00,1
2019-08-02 18:29:00,2
2019-08-02 18:36:00,1
2019-08-02 18:39:00,1
2019-08-02 18:42:00,3
2019-08-02 18:43:00,1
2019-08-02 18:48:00,1
2019-08-02 18:49:00,1
2019-08-02 18:51:00,1
2019-08-02 18:54:00,1
2019-08-02 19:01:00,3
2019-08-02 19:15:00,1
2019-08-02 19:18:00,1
2019-08-02 19:19:00,1
2019-08-02 19:21:00,1
2019-08-02 19:25:00,1
2019-08-02 19:29:00,1
2019-08-02 19:30:00,3
2019-08-02 19:35:00,1
2019-08-02 19:36:00,1
2019-08-02 19:39:00,1
2019-08-02 19:40:00,2
2019-08-02 19:41:00,2
2019-08-02 19:44:00,1
2019-08-02 19:49:00,2
2019-08-02 19:50:00,2
2019-08-02 19:51:00,1
2019-08-02 19:52:00,1
2019-08-02 19:53:00,2
2019-08-02 19:54:00,1
2019-08-02 19:56:00,1
2019-08-02 19:59:00,1
2019-08-02 20:00:00,1
2019-08-02 20:03:00,2
2019-08-02 20:04:00,1
2019-08-02 20:06:00,1
2019-08-02 20:14:00,1
2019-08-02 20:16:00,1
2019-08-02 20:18:00,1
2019-08-02 20:20:00,1
2019-08-02 20:22:00,1
2019-08-02 20:29:00,2
2019-08-02 20:30:00,1
2019-08-02 20:31:00,1
2019-08-02 20:34:00,1
2019-08-02 20:44:00,1
2019-08-02 20:52:00,2
2019-08-02 20:56:00,2
2019-08-02 20:59:00,1
2019-08-02 21:03:00,1
2019-08-02 21:16:00,1
2019-08-02 21:30:00,1
2019-08-02 21:33:00,1
2019-08-02 21:45:00,1
2019-08-02 21:46:00,1
2019-08-02 22:17:00,1
2019-08-02 22:40:00,1
2019-08-02 22:54:00,2
2019-08-02 23:24:00,1
