24,"SELECT TOP #  s.plate,s.mjd,s.fiberid  FROM ..SpecObj as s  JOIN dbo.fGetNearbySpecObjEq(#,#,#) AS b ON b.SpecobjID = S.SpecobjID  WHERE s.zWarning = #"
2019-04-25 08:45:00,1
2019-04-25 08:46:00,1
2019-04-25 08:47:00,1
2019-04-25 08:48:00,1
2019-04-25 08:54:00,1
2019-04-25 08:55:00,3
2019-04-25 08:56:00,2
2019-04-25 08:57:00,1
2019-04-25 08:58:00,1
2019-04-25 08:59:00,2
2019-04-25 09:00:00,1
2019-04-25 09:01:00,3
2019-04-25 09:02:00,2
2019-04-25 09:03:00,1
2019-04-25 09:04:00,2
2019-04-25 09:05:00,1
