17,"SELECT DISTINCT p.run, p.rerun, p.camcol, p.field FROM PhotoObjAll AS p WHERE ((p.ra between # and #) and (p.dec between # and #))"
2019-04-25 01:02:00,1
2019-04-25 01:03:00,1
2019-04-25 03:32:00,1
2019-04-25 03:33:00,2
2019-04-25 16:37:00,1
2019-04-25 16:49:00,1
2019-04-25 16:51:00,1
2019-04-25 16:52:00,1
2019-04-25 16:54:00,1
2019-04-25 16:56:00,1
2019-04-25 16:57:00,1
2019-04-25 16:59:00,1
2019-04-25 17:00:00,1
2019-04-25 17:02:00,1
2019-04-25 17:04:00,1
2019-04-25 17:06:00,1
