10,"SELECT  p.objid,    p.run, p.rerun, p.camcol, p.field, p.obj,    p.type, p.ra, p.dec, p.u,p.g,p.r,p.i,p.z,    p.Err_u, p.Err_g, p.Err_r,p.Err_i,p.Err_z    FROM fGetNearbyObjEq(#,#,#) n, PhotoPrimary p    WHERE n.objID=p.objID  AND p.u BETWEEN # AND # AND p.g BETWEEN # AND # AND p.r BETWEEN # AND # AND p.i BETWEEN # AND # AND p.z BETWEEN # AND #"
2019-04-25 03:05:00,1
2019-04-25 03:22:00,1
2019-04-25 03:35:00,1
2019-04-25 13:54:00,1
2019-04-25 14:20:00,1
2019-04-25 14:22:00,1
2019-04-25 14:26:00,1
2019-04-25 14:34:00,1
2019-04-25 14:36:00,1
2019-04-25 14:45:00,1
