1803,"select ra,dec, #*LOG1#(psfFlux_u) + # - extinction_u + # as psfPogCorr_u, #*LOG1#(psfFlux_g) + # - extinction_g + # as psfPogCorr_g, #*LOG1#(psfFlux_r) + # - extinction_r + # as psfPogCorr_r, #/SQRT(psfFluxIvar_u)/psfFlux_u as psfPogErr_u, #/SQRT(psfFluxIvar_g)/psfFlux_g as psfPogErr_g, #/SQRT(psfFluxIvar_r)/psfFlux_r as psfPogErr_r from star as s where ra between # and # and dec between # and # and s.clean=# and psfFlux_u > # and psfFlux_g > # and psfFlux_r > # and psfFlux_i > # and psfMagErr_u < # and psfMagErr_g < # and psfMagErr_r < # and psfMagErr_i < #"
2019-04-25 02:08:00,3
2019-04-25 02:09:00,8
2019-04-25 02:10:00,12
2019-04-25 02:11:00,17
2019-04-25 02:12:00,18
2019-04-25 02:13:00,13
2019-04-25 02:14:00,48
2019-04-25 02:15:00,49
2019-04-25 02:16:00,49
2019-04-25 02:17:00,22
2019-04-25 02:18:00,15
2019-04-25 02:19:00,12
2019-04-25 02:20:00,18
2019-04-25 02:21:00,24
2019-04-25 02:22:00,25
2019-04-25 02:23:00,28
2019-04-25 02:24:00,29
2019-04-25 02:25:00,21
2019-04-25 02:26:00,29
2019-04-25 02:27:00,20
2019-04-25 02:28:00,28
2019-04-25 02:29:00,23
2019-04-25 02:30:00,20
2019-04-25 02:31:00,20
2019-04-25 02:32:00,9
2019-04-25 02:33:00,12
2019-04-25 02:34:00,13
2019-04-25 02:35:00,10
2019-04-25 02:36:00,9
2019-04-25 02:37:00,37
2019-04-25 02:38:00,55
2019-04-25 02:39:00,48
2019-04-25 02:40:00,27
2019-04-25 02:41:00,50
2019-04-25 02:42:00,6
2019-04-25 13:18:00,10
2019-04-25 13:19:00,19
2019-04-25 13:20:00,13
2019-04-25 13:21:00,10
2019-04-25 13:22:00,12
2019-04-25 13:23:00,13
2019-04-25 13:24:00,17
2019-04-25 13:25:00,20
2019-04-25 13:26:00,21
2019-04-25 13:27:00,18
2019-04-25 13:28:00,17
2019-04-25 13:29:00,20
2019-04-25 13:30:00,17
2019-04-25 13:31:00,16
2019-04-25 13:32:00,16
2019-04-25 13:33:00,21
2019-04-25 13:34:00,18
2019-04-25 13:35:00,17
2019-04-25 13:36:00,21
2019-04-25 13:37:00,17
2019-04-25 13:38:00,24
2019-04-25 13:39:00,15
2019-04-25 13:40:00,15
2019-04-25 13:41:00,19
2019-04-25 13:42:00,14
2019-04-25 13:43:00,14
2019-04-25 13:44:00,15
2019-04-25 13:45:00,16
2019-04-25 13:46:00,15
2019-04-25 13:47:00,14
2019-04-25 13:48:00,13
2019-04-25 13:49:00,12
2019-04-25 13:50:00,12
2019-04-25 13:51:00,10
2019-04-25 13:52:00,11
2019-04-25 13:53:00,10
2019-04-25 13:54:00,35
2019-04-25 13:55:00,42
2019-04-25 13:56:00,47
2019-04-25 13:57:00,42
2019-04-25 13:58:00,42
2019-04-25 13:59:00,41
2019-04-25 14:00:00,45
2019-04-25 14:01:00,31
2019-04-25 14:02:00,14
2019-04-25 14:03:00,18
2019-04-25 14:04:00,24
2019-04-25 14:05:00,33
