11,"SELECT ALL  p.ra,p.dec,p.u,p.g,p.r,p.i,p.z,p.type,  p.psffwhm_u, p.psffwhm_g, p.psffwhm_r,  p.psffwhm_i, p.psffwhm_z  FROM PhotoPrimary AS p  WHERE  p.ra BETWEEN # AND #  AND p.dec BETWEEN # AND #  AND p.type = #"
2019-04-25 10:47:00,5
2019-04-25 10:48:00,5
2019-04-25 11:02:00,1
