4,"SELECT TOP # a.apogee_id,str(a.glon,#,#) glon,str(a.glat,#,#) glat,a.snr,a.vhelio_avg,a.vscatter,q.teff,q.logg,q.metals,q.alphafe FROM apogeeStar as a 	JOIN dbo.fGetNearbyApogeeStarEq(#,#,#) AS b ON b.apstar_id = a.apstar_id 	JOIN apogeeObject as o ON a.apogee_id=o.apogee_id  	JOIN aspcapStar as q ON a.apstar_id=q.apstar_id"
2019-09-28 11:36:00,1
2019-09-28 11:37:00,3
