5,"SELECT TOP # z.specobjid, z.ra, z.dec, z.p_el, z.p_cw, z.p_acw, s.specObjID as specobjid2,  s.z, s.ra as ra2, s.dec as dec2, s.petroMag_u, s.petroMag_g, s.petroMag_r FROM zooSpec as z, SpecPhotoAll as s WHERE z.specobjid = s.specObjID"
2019-09-28 15:59:00,4
2019-09-28 16:00:00,1
