11385,"select P.objid,P.ra,P.dec,P.petroMag_r,P.petroMagErr_r,P.deVRad_r,P.petroRad_r,P.deVPhi_r,P.deVAB_r,P.rowc_r,P.colc_r,P.run,P.rerun,P.camcol,P.field from PhotoObjAll P where P.objid = #"
2019-09-28 00:00:00,511
2019-09-28 00:01:00,989
2019-09-28 00:41:00,783
2019-09-28 00:42:00,761
2019-09-28 12:44:00,60
2019-09-28 12:49:00,95
2019-09-28 12:50:00,1367
2019-09-28 12:55:00,1350
2019-09-28 12:56:00,2127
2019-09-28 12:58:00,134
2019-09-28 12:59:00,305
2019-09-28 13:00:00,311
2019-09-28 13:01:00,302
2019-09-28 13:02:00,76
2019-09-28 13:32:00,52
2019-09-28 13:33:00,305
2019-09-28 13:34:00,302
2019-09-28 13:35:00,299
2019-09-28 13:36:00,152
2019-09-28 15:22:00,25
2019-09-28 15:23:00,216
2019-09-28 15:24:00,200
2019-09-28 15:25:00,202
2019-09-28 15:26:00,196
2019-09-28 15:27:00,203
2019-09-28 15:28:00,62
