6,"SELECT ra, dec, psfMag_r, psfMagErr_r, extinction_r FROM star WHERE (ra between # and #) and (dec between # and #) AND (CLEAN=#)"
2019-09-28 19:18:00,1
2019-09-28 19:20:00,1
2019-09-28 19:21:00,3
2019-09-28 19:22:00,1
