3,"SELECT   p.ra, p.dec, p.g,p.r   FROM fGetNearbyObjEq(#,#,#) n, PhotoPrimary p  WHERE n.objID=p.objID AND p.g BETWEEN # AND # AND p.r BETWEEN # AND #"
2019-10-06 22:00:00,1
2019-10-06 22:02:00,2
