58,"SELECT g.objid,g.ra,g.dec,p.z,p.zErr,q.u,q.g,q.r,q.i,q.z FROM GALAXY as g JOIN PhotoZ as p ON p.objID = g.ObjID JOIN PhotoObjAll as q ON q.objID = g.objID WHERE (g.ra between # and #) and (g.dec between # and #)"
2019-10-06 00:09:00,1
2019-10-06 00:12:00,1
2019-10-06 02:25:00,1
2019-10-06 02:31:00,1
2019-10-06 02:51:00,1
2019-10-06 03:08:00,1
2019-10-06 03:11:00,1
2019-10-06 03:12:00,1
2019-10-06 03:14:00,1
2019-10-06 03:15:00,1
2019-10-06 03:16:00,1
2019-10-06 03:18:00,1
2019-10-06 03:19:00,4
2019-10-06 06:50:00,1
2019-10-06 06:51:00,1
2019-10-06 10:27:00,1
2019-10-06 11:30:00,1
2019-10-06 14:46:00,1
2019-10-06 14:59:00,2
2019-10-06 15:02:00,1
2019-10-06 15:32:00,1
2019-10-06 16:20:00,1
2019-10-06 16:21:00,1
2019-10-06 17:48:00,1
2019-10-06 17:51:00,1
2019-10-06 17:54:00,1
2019-10-06 17:57:00,1
2019-10-06 18:00:00,1
2019-10-06 18:05:00,1
2019-10-06 18:08:00,1
2019-10-06 18:11:00,1
2019-10-06 18:22:00,1
2019-10-06 18:25:00,1
2019-10-06 18:27:00,1
2019-10-06 18:30:00,1
2019-10-06 18:32:00,1
2019-10-06 18:35:00,1
2019-10-06 18:38:00,1
2019-10-06 18:41:00,1
2019-10-06 18:44:00,1
2019-10-06 18:47:00,1
2019-10-06 18:49:00,1
2019-10-06 18:55:00,1
2019-10-06 19:01:00,1
2019-10-06 19:05:00,1
2019-10-06 21:13:00,1
2019-10-06 21:19:00,1
2019-10-06 21:24:00,1
2019-10-06 21:25:00,2
2019-10-06 22:46:00,1
2019-10-06 22:48:00,1
2019-10-06 23:15:00,1
2019-10-06 23:43:00,1
