25,select psfWidth_i from Field as f where f.run=# and f.field=# and f.camcol=#
2019-10-06 09:06:00,1
2019-10-06 09:07:00,1
2019-10-06 09:08:00,2
2019-10-06 09:09:00,3
2019-10-06 09:10:00,1
2019-10-06 09:16:00,2
2019-10-06 09:18:00,1
2019-10-06 09:20:00,2
2019-10-06 09:21:00,1
2019-10-06 09:22:00,1
2019-10-06 09:24:00,2
2019-10-06 09:25:00,3
2019-10-06 09:26:00,2
2019-10-06 09:29:00,1
2019-10-06 09:37:00,1
2019-10-06 11:20:00,1
