119,"SELECT top # ra,dec,u,g,r,i,z,GNOE.distance*# FROM PhotoObj as PT JOIN dbo.fGetNearbyObjEq(#,#,#) as GNOE on PT.objID = GNOE.objID ORDER BY GNOE.distance"
2019-10-06 17:45:00,1
2019-10-06 17:48:00,2
2019-10-06 18:22:00,2
2019-10-06 18:27:00,3
2019-10-06 18:29:00,2
2019-10-06 18:30:00,2
2019-10-06 18:31:00,1
2019-10-06 18:33:00,2
2019-10-06 18:55:00,1
2019-10-06 18:56:00,1
2019-10-06 18:59:00,2
2019-10-06 19:01:00,6
2019-10-06 19:02:00,40
2019-10-06 19:03:00,38
2019-10-06 19:04:00,16
