14,"SELECT objID, run, camcol, field, colc_i, rowc_i, ra, dec, petroMag_i, petroMagErr_i, petroR5#_i, petroR5#Err_i, petroRad_i, petroRadErr_i, type, flags, mode, modelMag_i, modelMagErr_i, fracDeV_i FROM PhotoObj WHERE run=# and field=# and camcol=# and type=# and i<# and i!=#"
2019-10-06 10:32:00,1
2019-10-06 10:36:00,1
2019-10-06 10:52:00,2
2019-10-06 10:53:00,1
2019-10-06 10:55:00,2
2019-10-06 10:56:00,1
2019-10-06 10:57:00,1
2019-10-06 10:58:00,1
2019-10-06 10:59:00,2
2019-10-06 11:00:00,1
2019-10-06 11:20:00,1
