59,"select top # p.objid,p.ra,p.dec,dbo.fPhotoTypeN(p.type) as type,u,g,r,i,z,Err_u,Err_g,Err_r,Err_i,Err_z,psfMag_u,psfMagErr_u,psfMag_g,psfMagErr_g,psfMag_r,psfMagErr_r,psfMag_i,psfMagErr_i,psfMag_z,psfMagErr_z  from PhotoPrimary p, dbo.fGetNearbyObjEq(#,#,#) n  where p.objId=n.objId"
2019-10-06 00:45:00,1
2019-10-06 01:45:00,1
2019-10-06 02:46:00,1
2019-10-06 03:45:00,1
2019-10-06 04:45:00,1
2019-10-06 05:44:00,1
2019-10-06 06:45:00,1
2019-10-06 07:45:00,1
2019-10-06 08:45:00,1
2019-10-06 09:44:00,1
2019-10-06 10:45:00,1
2019-10-06 11:18:00,9
2019-10-06 11:44:00,1
2019-10-06 12:45:00,1
2019-10-06 13:45:00,1
2019-10-06 14:45:00,1
2019-10-06 15:05:00,9
2019-10-06 15:22:00,9
2019-10-06 15:45:00,1
2019-10-06 16:45:00,1
2019-10-06 16:46:00,1
2019-10-06 16:50:00,1
2019-10-06 17:03:00,1
2019-10-06 17:43:00,9
2019-10-06 17:45:00,1
2019-10-06 18:45:00,1
2019-10-06 19:45:00,1
