790,"SELECT p.ra,p.dec,   p.psfmag_g,p.psfMagErr_g,   p.psfmag_r,p.psfMagErr_r,   p.psfmag_i,p.psfMagErr_i,   p.psfmag_z,p.psfMagErr_z,   f.mjd_r,f.mjd_g,f.mjd_i,f.mjd_z   FROM PhotoObjAll p   JOIN field as f on p.fieldid = f.fieldid   WHERE ra between # and #   and dec between # and #   and p.parentID = #   order by f.mjd_r"
2019-10-06 06:58:00,1
2019-10-06 06:59:00,2
2019-10-06 07:00:00,2
2019-10-06 07:01:00,2
2019-10-06 07:02:00,2
2019-10-06 07:03:00,2
2019-10-06 07:04:00,2
2019-10-06 07:05:00,2
2019-10-06 07:06:00,2
2019-10-06 07:07:00,3
2019-10-06 07:08:00,2
2019-10-06 07:09:00,2
2019-10-06 07:10:00,2
2019-10-06 07:11:00,3
2019-10-06 07:12:00,2
2019-10-06 07:13:00,2
2019-10-06 07:14:00,3
2019-10-06 07:15:00,2
2019-10-06 07:16:00,2
2019-10-06 07:17:00,2
2019-10-06 07:18:00,3
2019-10-06 07:19:00,2
2019-10-06 07:20:00,2
2019-10-06 07:21:00,3
2019-10-06 07:22:00,2
2019-10-06 07:23:00,2
2019-10-06 07:24:00,2
2019-10-06 07:25:00,2
2019-10-06 07:26:00,2
2019-10-06 07:27:00,2
2019-10-06 07:28:00,2
2019-10-06 07:29:00,3
2019-10-06 07:30:00,2
2019-10-06 07:31:00,2
2019-10-06 07:32:00,2
2019-10-06 07:33:00,2
2019-10-06 07:34:00,2
2019-10-06 07:35:00,2
2019-10-06 07:36:00,2
2019-10-06 07:37:00,3
2019-10-06 07:38:00,2
2019-10-06 07:39:00,2
2019-10-06 07:40:00,2
2019-10-06 07:41:00,2
2019-10-06 07:42:00,2
2019-10-06 07:43:00,2
2019-10-06 07:44:00,2
2019-10-06 07:45:00,2
2019-10-06 07:46:00,2
2019-10-06 07:47:00,2
2019-10-06 07:48:00,2
2019-10-06 07:49:00,2
2019-10-06 07:50:00,1
2019-10-06 07:51:00,2
2019-10-06 07:52:00,2
2019-10-06 07:53:00,3
2019-10-06 07:54:00,2
2019-10-06 07:55:00,1
2019-10-06 07:56:00,2
2019-10-06 07:57:00,2
2019-10-06 07:58:00,2
2019-10-06 07:59:00,2
2019-10-06 08:00:00,2
2019-10-06 08:01:00,3
2019-10-06 08:02:00,2
2019-10-06 08:03:00,2
2019-10-06 08:04:00,2
2019-10-06 08:05:00,2
2019-10-06 08:06:00,1
2019-10-06 08:07:00,2
2019-10-06 08:08:00,3
2019-10-06 08:09:00,2
2019-10-06 08:10:00,2
2019-10-06 08:11:00,2
2019-10-06 08:12:00,2
2019-10-06 08:13:00,3
