8,"SELECT   p.ra, p.dec, p.g,p.r  FROM fGetNearbyObjEq(#,#,#) n, PhotoPrimary p  WHERE n.objID=p.objID AND p.g BETWEEN # AND # AND p.r BETWEEN # AND #"
2019-10-06 22:04:00,2
2019-10-06 22:05:00,4
2019-10-06 22:06:00,2
