26,select * from fDocFunctionParams(&&&)
2019-10-06 01:19:00,1
2019-10-06 02:13:00,1
2019-10-06 02:52:00,1
2019-10-06 02:54:00,1
2019-10-06 04:04:00,1
2019-10-06 04:08:00,1
2019-10-06 04:24:00,1
2019-10-06 06:39:00,1
2019-10-06 06:53:00,1
2019-10-06 07:03:00,1
2019-10-06 07:20:00,1
2019-10-06 07:45:00,1
2019-10-06 08:40:00,1
2019-10-06 09:32:00,1
2019-10-06 14:15:00,1
2019-10-06 14:49:00,1
2019-10-06 14:56:00,1
2019-10-06 15:18:00,1
2019-10-06 15:32:00,1
2019-10-06 17:00:00,1
2019-10-06 17:57:00,1
2019-10-06 18:27:00,1
2019-10-06 19:07:00,1
2019-10-06 21:52:00,1
2019-10-06 22:38:00,1
2019-10-06 23:17:00,1
