7,"select top # p.objid, p.ra, p.dec, s.z as redshift from photoobj p, specobj s where p.objid=s.bestobjid and (s.class = &&&) and s.z BETWEEN # AND #"
2019-10-06 05:36:00,4
2019-10-06 05:37:00,3
