100,"SELECT DISTINCT p.ra, p.dec, p.u, p.g, p.r, p.i, s.Z, s.class, s.ZErr FROM PhotoObjAll AS p JOIN SpecObjAll s ON p.objID = s.bestObjID WHERE ((p.ra between # and #) and (p.dec between # and #))"
2019-02-23 16:21:00,74
2019-02-23 16:22:00,26
