2702,"select psf2GSigma1_u, psf2GSigma1_g, psf2GSigma1_r, psf2GSigma1_i, psf2GSigma1_z, psf2GSigma2_u, psf2GSigma2_g, psf2GSigma2_r, psf2GSigma2_i, psf2GSigma2_z, psf2GB_u, psf2GB_g,psf2GB_r, psf2GB_i, psf2GB_z, psfWidth_u, psfWidth_g, psfWidth_r, psfWidth_i, psfWidth_z from Field where run = # and rerun = # and camcol = # and field = #"
2019-02-23 00:00:00,13
2019-02-23 00:01:00,4
2019-02-23 00:02:00,6
2019-02-23 00:03:00,4
2019-02-23 00:04:00,10
2019-02-23 00:05:00,8
2019-02-23 00:06:00,11
2019-02-23 00:07:00,10
2019-02-23 00:08:00,11
2019-02-23 00:09:00,7
2019-02-23 00:10:00,12
2019-02-23 00:11:00,7
2019-02-23 00:12:00,5
2019-02-23 00:13:00,8
2019-02-23 00:14:00,9
2019-02-23 00:15:00,5
2019-02-23 00:16:00,11
2019-02-23 00:17:00,6
2019-02-23 00:18:00,9
2019-02-23 00:19:00,8
2019-02-23 00:20:00,20
2019-02-23 00:21:00,3
2019-02-23 00:22:00,7
2019-02-23 00:23:00,13
2019-02-23 00:24:00,2
2019-02-23 00:25:00,12
2019-02-23 00:26:00,10
2019-02-23 00:27:00,5
2019-02-23 00:28:00,10
2019-02-23 00:29:00,14
2019-02-23 00:30:00,11
2019-02-23 00:31:00,11
2019-02-23 00:32:00,8
2019-02-23 00:33:00,11
2019-02-23 00:34:00,6
2019-02-23 00:35:00,12
2019-02-23 00:36:00,17
2019-02-23 00:37:00,4
2019-02-23 00:38:00,11
2019-02-23 00:39:00,13
2019-02-23 00:40:00,3
2019-02-23 00:41:00,6
2019-02-23 00:42:00,4
2019-02-23 00:43:00,12
2019-02-23 00:44:00,8
2019-02-23 00:45:00,8
2019-02-23 00:46:00,7
2019-02-23 00:47:00,10
2019-02-23 00:48:00,10
2019-02-23 00:49:00,9
2019-02-23 00:50:00,8
2019-02-23 00:51:00,12
2019-02-23 00:52:00,10
2019-02-23 00:53:00,10
2019-02-23 00:54:00,1
2019-02-23 00:55:00,13
2019-02-23 00:56:00,6
2019-02-23 00:57:00,5
2019-02-23 00:58:00,6
2019-02-23 00:59:00,5
2019-02-23 01:00:00,13
2019-02-23 01:01:00,13
2019-02-23 01:02:00,2
2019-02-23 01:03:00,14
2019-02-23 01:04:00,11
2019-02-23 01:05:00,12
2019-02-23 01:06:00,12
2019-02-23 01:07:00,10
2019-02-23 01:08:00,4
2019-02-23 01:09:00,12
2019-02-23 01:10:00,11
2019-02-23 01:11:00,11
2019-02-23 01:12:00,10
2019-02-23 01:13:00,11
2019-02-23 01:14:00,12
2019-02-23 01:15:00,6
2019-02-23 01:16:00,8
2019-02-23 01:17:00,12
2019-02-23 01:18:00,13
2019-02-23 01:19:00,3
2019-02-23 01:20:00,8
2019-02-23 01:21:00,6
2019-02-23 01:22:00,9
2019-02-23 01:23:00,12
2019-02-23 01:24:00,3
2019-02-23 01:25:00,4
2019-02-23 01:26:00,10
2019-02-23 01:27:00,9
2019-02-23 01:28:00,9
2019-02-23 01:29:00,3
2019-02-23 01:30:00,15
2019-02-23 01:31:00,7
2019-02-23 01:32:00,10
2019-02-23 01:33:00,13
2019-02-23 01:34:00,10
2019-02-23 01:35:00,7
2019-02-23 01:36:00,6
2019-02-23 01:37:00,10
2019-02-23 01:38:00,3
2019-02-23 01:39:00,13
2019-02-23 01:40:00,10
2019-02-23 01:41:00,13
2019-02-23 01:42:00,4
2019-02-23 01:43:00,9
2019-02-23 01:44:00,10
2019-02-23 01:45:00,11
2019-02-23 01:46:00,4
2019-02-23 01:47:00,10
2019-02-23 01:48:00,10
2019-02-23 01:49:00,8
2019-02-23 01:50:00,18
2019-02-23 01:51:00,7
2019-02-23 01:52:00,8
2019-02-23 01:53:00,7
2019-02-23 01:54:00,6
2019-02-23 01:55:00,6
2019-02-23 01:56:00,13
2019-02-23 01:57:00,6
2019-02-23 01:58:00,8
2019-02-23 01:59:00,15
