73,"SELECT s.specObjID as spec_id, dbo.fGetUrlFitsSpectrum(s.specObjId) as spec_url FROM PhotoObj AS p JOIN SpecObj AS s ON s.bestobjid = p.objid WHERE p.ra BETWEEN # AND # AND p.dec BETWEEN # AND # AND p.type=# AND s.snMedian>#"
2019-08-01 05:00:00,1
2019-08-01 05:06:00,6
2019-08-01 05:07:00,10
2019-08-01 05:08:00,10
2019-08-01 05:09:00,1
2019-08-01 05:12:00,4
2019-08-01 05:13:00,12
2019-08-01 05:14:00,9
2019-08-01 05:29:00,10
2019-08-01 18:08:00,5
2019-08-01 18:09:00,4
2019-08-01 18:14:00,1
