680,"select [indexMapID],[code],[type],[tableName],[fieldList],[foreignKey] from IndexMap  where tableName=&&& order by [indexMapId]"
2019-08-01 00:40:00,42
2019-08-01 02:50:00,18
2019-08-01 05:16:00,1
2019-08-01 08:18:00,1
2019-08-01 09:19:00,42
2019-08-01 09:22:00,42
2019-08-01 09:58:00,42
2019-08-01 10:19:00,18
2019-08-01 11:07:00,42
2019-08-01 11:09:00,42
2019-08-01 11:31:00,42
2019-08-01 12:07:00,18
2019-08-01 12:22:00,10
2019-08-01 12:23:00,10
2019-08-01 12:24:00,10
2019-08-01 14:21:00,3
2019-08-01 14:22:00,2
2019-08-01 14:48:00,18
2019-08-01 16:06:00,1
2019-08-01 16:08:00,2
2019-08-01 16:27:00,1
2019-08-01 16:50:00,1
2019-08-01 18:53:00,42
2019-08-01 19:49:00,1
2019-08-01 20:06:00,42
2019-08-01 21:09:00,42
2019-08-01 21:49:00,18
2019-08-01 22:10:00,42
2019-08-01 22:19:00,1
2019-08-01 22:55:00,42
2019-08-01 23:40:00,42
