2,"select p.objid, p.ra, p.dec, p.z from SpecPhoto as p, dbo.fgetNearByObjEq(#,#,#) n where p.objid=n.objid and p.class=&&& and p.z > #"
2019-08-01 06:05:00,1
2019-08-01 06:07:00,1
