2,"select top # p.objid as name, p.ra, p.dec from galaxy p, dbo.fgetNearByObjEq(,,) n where p.objid=n.objid and p.class=&&& and p.z > #"
2019-08-01 06:30:00,1
2019-08-01 06:31:00,1
