295,select fieldid from field where cccol_u between .# and .# and skyframes_r between # and #
2019-02-26 10:27:00,1
2019-02-26 10:28:00,15
2019-02-26 11:07:00,6
2019-02-26 11:19:00,30
2019-02-26 11:26:00,1
2019-02-26 11:42:00,1
2019-02-26 11:46:00,4
2019-02-26 11:47:00,13
2019-02-26 12:02:00,1
2019-02-26 12:17:00,5
2019-02-26 12:20:00,3
2019-02-26 12:21:00,7
2019-02-26 12:24:00,3
2019-02-26 12:25:00,1
2019-02-26 12:33:00,1
2019-02-26 12:40:00,2
2019-02-26 12:50:00,1
2019-02-26 12:51:00,3
2019-02-26 12:52:00,7
2019-02-26 13:01:00,23
2019-02-26 13:03:00,7
2019-02-26 13:04:00,16
2019-02-26 13:21:00,17
2019-02-26 13:25:00,9
2019-02-26 13:26:00,11
2019-02-26 13:28:00,29
2019-02-26 13:29:00,2
2019-02-26 13:39:00,18
2019-02-26 13:41:00,58
