540,select objid from photoprimary where photoprimary.dec between -.# and .# and photoprimary.ra between # and #
2019-02-26 17:04:00,1
2019-02-26 17:17:00,4
2019-02-26 17:18:00,1
2019-02-26 17:19:00,3
2019-02-26 17:20:00,2
2019-02-26 17:21:00,1
2019-02-26 17:22:00,2
2019-02-26 17:23:00,4
2019-02-26 17:24:00,2
2019-02-26 17:25:00,1
2019-02-26 17:28:00,19
2019-02-26 17:29:00,26
2019-02-26 17:30:00,24
2019-02-26 17:31:00,24
2019-02-26 17:32:00,28
2019-02-26 17:33:00,22
2019-02-26 17:34:00,23
2019-02-26 17:35:00,28
2019-02-26 17:36:00,26
2019-02-26 17:37:00,29
2019-02-26 17:38:00,28
2019-02-26 17:39:00,23
2019-02-26 17:40:00,29
2019-02-26 17:41:00,23
2019-02-26 17:42:00,26
2019-02-26 17:43:00,25
2019-02-26 17:44:00,30
2019-02-26 17:45:00,22
2019-02-26 17:46:00,26
2019-02-26 17:47:00,5
2019-02-26 20:29:00,1
2019-02-26 20:30:00,1
2019-02-26 20:31:00,1
2019-02-26 20:32:00,1
2019-02-26 20:33:00,1
2019-02-26 20:46:00,1
2019-02-26 20:48:00,1
2019-02-26 20:49:00,2
2019-02-26 20:51:00,1
2019-02-26 20:53:00,3
2019-02-26 20:57:00,1
2019-02-26 20:58:00,2
2019-02-26 21:00:00,1
2019-02-26 21:02:00,1
2019-02-26 21:04:00,1
2019-02-26 21:06:00,2
2019-02-26 21:20:00,1
2019-02-26 21:23:00,1
2019-02-26 21:27:00,1
2019-02-26 21:37:00,1
2019-02-26 21:42:00,1
2019-02-26 21:44:00,1
2019-02-26 21:52:00,1
2019-02-26 21:54:00,1
2019-02-26 22:34:00,2
2019-02-26 23:56:00,1
2019-02-26 23:59:00,1
