215,select fieldid from field where cccol_u between # and -.# and skyframes_r between # and #
2019-02-26 10:28:00,16
2019-02-26 10:32:00,3
2019-02-26 10:45:00,5
2019-02-26 10:46:00,14
2019-02-26 10:47:00,12
2019-02-26 10:48:00,1
2019-02-26 10:53:00,8
2019-02-26 11:03:00,8
2019-02-26 11:04:00,12
2019-02-26 11:05:00,41
2019-02-26 11:06:00,3
2019-02-26 11:07:00,6
2019-02-26 11:11:00,1
2019-02-26 11:19:00,20
2019-02-26 11:20:00,9
2019-02-26 12:16:00,1
2019-02-26 12:24:00,4
2019-02-26 12:25:00,30
2019-02-26 12:29:00,19
2019-02-26 12:30:00,2
