275,"select psf2GSigma1_u, psf2GSigma1_g, psf2GSigma1_r, psf2GSigma1_i, psf2GSigma1_z, psf2GSigma2_u, psf2GSigma2_g, psf2GSigma2_r, psf2GSigma2_i, psf2GSigma2_z, psf2GB_u, psf2GB_g,psf2GB_r, psf2GB_i, psf2GB_z, psfWidth_u, psfWidth_g, psfWidth_r, psfWidth_i, psfWidth_z from Field where run = # and rerun = # and camcol = # and field = #"
2019-02-26 15:30:00,5
2019-02-26 15:32:00,15
2019-02-26 15:37:00,11
2019-02-26 15:38:00,14
2019-02-26 15:39:00,20
2019-02-26 15:40:00,15
2019-02-26 15:42:00,5
2019-02-26 15:44:00,3
2019-02-26 15:45:00,5
2019-02-26 15:46:00,5
2019-02-26 15:47:00,8
2019-02-26 15:48:00,4
2019-02-26 15:58:00,15
2019-02-26 16:17:00,10
2019-02-26 16:18:00,5
2019-02-26 17:54:00,15
2019-02-26 18:07:00,5
2019-02-26 18:08:00,10
2019-02-26 18:49:00,1
2019-02-26 18:50:00,14
2019-02-26 18:53:00,15
2019-02-26 19:03:00,14
2019-02-26 19:04:00,8
2019-02-26 19:05:00,8
2019-02-26 19:09:00,2
2019-02-26 19:10:00,13
2019-02-26 19:11:00,15
2019-02-26 19:12:00,15
