25,select fieldid from field where cccol_u between .# and # and skyframes_r between # and # and expapcorrectionerr_r between # and #
2019-02-26 13:10:00,7
2019-02-26 13:11:00,2
2019-02-26 13:12:00,3
2019-02-26 13:13:00,4
2019-02-26 13:14:00,4
2019-02-26 13:15:00,2
2019-02-26 13:16:00,1
2019-02-26 13:17:00,2
