1654,"SELECT p.objID,p.ra,p.dec,p.run,p.rerun,p.camcol,p.field,p.type,p.z,p.zErr,p.zWarning,p.class,p.subClass,p.survey FROM dbo.fGetNearbyObjEq(#,#,#) as b, BESTDR1#..SpecPhotoAll as p WHERE b.objID = p.objID"
2019-02-26 15:48:00,1
2019-02-26 15:51:00,13
2019-02-26 15:52:00,33
2019-02-26 15:53:00,32
2019-02-26 15:54:00,32
2019-02-26 15:55:00,31
2019-02-26 15:56:00,31
2019-02-26 15:57:00,27
2019-02-26 15:58:00,27
2019-02-26 15:59:00,30
2019-02-26 16:00:00,30
2019-02-26 16:01:00,28
2019-02-26 16:02:00,31
2019-02-26 16:03:00,29
2019-02-26 16:04:00,29
2019-02-26 16:05:00,24
2019-02-26 16:06:00,28
2019-02-26 16:07:00,31
2019-02-26 16:08:00,31
2019-02-26 16:09:00,27
2019-02-26 16:10:00,30
2019-02-26 16:11:00,30
2019-02-26 16:12:00,25
2019-02-26 16:13:00,28
2019-02-26 16:14:00,29
2019-02-26 16:15:00,31
2019-02-26 16:16:00,27
2019-02-26 16:17:00,31
2019-02-26 16:18:00,30
2019-02-26 16:19:00,29
2019-02-26 16:20:00,30
2019-02-26 16:21:00,30
2019-02-26 16:22:00,29
2019-02-26 16:23:00,32
2019-02-26 16:24:00,28
2019-02-26 16:25:00,31
2019-02-26 16:26:00,31
2019-02-26 16:27:00,32
2019-02-26 16:28:00,34
2019-02-26 16:29:00,36
2019-02-26 16:30:00,35
2019-02-26 16:31:00,33
2019-02-26 16:32:00,34
2019-02-26 16:33:00,35
2019-02-26 16:34:00,34
2019-02-26 16:35:00,35
2019-02-26 16:36:00,36
2019-02-26 16:37:00,35
2019-02-26 16:38:00,35
2019-02-26 16:39:00,35
2019-02-26 16:40:00,33
2019-02-26 16:41:00,35
2019-02-26 16:42:00,35
2019-02-26 16:43:00,35
2019-02-26 16:44:00,21
