42486,select fieldid from field where cccol_u between # and # and skyframes_r between # and #
2019-02-26 10:26:00,24
2019-02-26 10:27:00,163
2019-02-26 10:28:00,242
2019-02-26 10:29:00,133
2019-02-26 10:30:00,24
2019-02-26 10:31:00,134
2019-02-26 10:32:00,215
2019-02-26 10:33:00,312
2019-02-26 10:34:00,338
2019-02-26 10:35:00,338
2019-02-26 10:36:00,421
2019-02-26 10:37:00,447
2019-02-26 10:38:00,379
2019-02-26 10:39:00,409
2019-02-26 10:40:00,330
2019-02-26 10:41:00,370
2019-02-26 10:42:00,328
2019-02-26 10:43:00,370
2019-02-26 10:44:00,318
2019-02-26 10:45:00,361
2019-02-26 10:46:00,330
2019-02-26 10:47:00,315
2019-02-26 10:48:00,309
2019-02-26 10:49:00,288
2019-02-26 10:50:00,368
2019-02-26 10:51:00,69
2019-02-26 10:52:00,86
2019-02-26 10:53:00,240
2019-02-26 10:54:00,249
2019-02-26 10:55:00,163
2019-02-26 10:56:00,288
2019-02-26 10:57:00,202
2019-02-26 10:58:00,299
2019-02-26 10:59:00,139
2019-02-26 11:00:00,290
2019-02-26 11:01:00,280
2019-02-26 11:02:00,366
2019-02-26 11:03:00,319
2019-02-26 11:04:00,226
2019-02-26 11:05:00,236
2019-02-26 11:06:00,202
2019-02-26 11:07:00,183
2019-02-26 11:08:00,39
2019-02-26 11:09:00,22
2019-02-26 11:10:00,25
2019-02-26 11:11:00,109
2019-02-26 11:12:00,234
2019-02-26 11:13:00,436
2019-02-26 11:14:00,443
2019-02-26 11:15:00,384
2019-02-26 11:16:00,350
2019-02-26 11:17:00,225
2019-02-26 11:18:00,287
2019-02-26 11:19:00,303
2019-02-26 11:20:00,35
2019-02-26 11:21:00,164
2019-02-26 11:22:00,424
2019-02-26 11:23:00,350
2019-02-26 11:24:00,240
2019-02-26 11:25:00,31
2019-02-26 11:26:00,216
2019-02-26 11:27:00,480
2019-02-26 11:28:00,431
2019-02-26 11:29:00,410
2019-02-26 11:30:00,372
2019-02-26 11:31:00,396
2019-02-26 11:32:00,431
2019-02-26 11:33:00,436
2019-02-26 11:34:00,480
2019-02-26 11:35:00,276
2019-02-26 11:36:00,406
2019-02-26 11:37:00,312
2019-02-26 11:38:00,266
2019-02-26 11:39:00,124
2019-02-26 11:40:00,53
2019-02-26 11:41:00,48
2019-02-26 11:42:00,45
2019-02-26 11:43:00,30
2019-02-26 11:44:00,44
2019-02-26 11:45:00,85
2019-02-26 11:46:00,460
2019-02-26 11:47:00,80
2019-02-26 11:48:00,145
2019-02-26 11:49:00,41
2019-02-26 11:50:00,10
2019-02-26 11:51:00,30
2019-02-26 11:52:00,20
2019-02-26 11:55:00,37
2019-02-26 11:56:00,21
2019-02-26 11:57:00,18
2019-02-26 11:58:00,26
2019-02-26 11:59:00,25
2019-02-26 12:00:00,24
2019-02-26 12:01:00,26
2019-02-26 12:02:00,107
2019-02-26 12:03:00,175
2019-02-26 12:04:00,37
2019-02-26 12:05:00,23
2019-02-26 12:06:00,25
2019-02-26 12:07:00,35
2019-02-26 12:08:00,56
2019-02-26 12:09:00,273
2019-02-26 12:10:00,294
2019-02-26 12:11:00,284
2019-02-26 12:12:00,302
2019-02-26 12:13:00,328
2019-02-26 12:14:00,356
2019-02-26 12:15:00,337
2019-02-26 12:16:00,356
2019-02-26 12:17:00,332
2019-02-26 12:18:00,271
2019-02-26 12:19:00,296
2019-02-26 12:20:00,378
2019-02-26 12:21:00,380
2019-02-26 12:22:00,342
2019-02-26 12:23:00,276
2019-02-26 12:24:00,65
2019-02-26 12:25:00,216
2019-02-26 12:26:00,284
2019-02-26 12:27:00,359
2019-02-26 12:28:00,342
2019-02-26 12:29:00,359
2019-02-26 12:30:00,173
2019-02-26 12:31:00,189
2019-02-26 12:32:00,210
2019-02-26 12:33:00,306
2019-02-26 12:34:00,333
2019-02-26 12:35:00,301
2019-02-26 12:36:00,387
2019-02-26 12:37:00,274
2019-02-26 12:38:00,293
2019-02-26 12:39:00,234
2019-02-26 12:40:00,13
2019-02-26 12:45:00,205
2019-02-26 12:46:00,364
2019-02-26 12:47:00,391
2019-02-26 12:48:00,349
2019-02-26 12:49:00,250
2019-02-26 12:50:00,255
2019-02-26 12:51:00,379
2019-02-26 12:52:00,346
2019-02-26 12:53:00,379
