1128,select objid from photoobj where photoobj.dec between # and # and photoobj.ra between # and #
2019-02-26 17:02:00,2
2019-02-26 17:03:00,5
2019-02-26 17:04:00,24
2019-02-26 17:47:00,36
2019-02-26 22:33:00,4
2019-02-26 22:34:00,197
2019-02-26 22:35:00,317
2019-02-26 22:36:00,3
2019-02-26 23:10:00,13
2019-02-26 23:11:00,84
2019-02-26 23:19:00,114
2019-02-26 23:20:00,6
2019-02-26 23:26:00,6
2019-02-26 23:27:00,261
2019-02-26 23:28:00,2
2019-02-26 23:33:00,27
2019-02-26 23:34:00,1
2019-02-26 23:36:00,26
