35,SELECT COUNT(*)
2019-02-26 14:30:00,2
2019-02-26 14:32:00,1
2019-02-26 14:33:00,1
2019-02-26 14:34:00,1
2019-02-26 14:38:00,2
2019-02-26 14:39:00,1
2019-02-26 14:40:00,2
2019-02-26 14:41:00,1
2019-02-26 14:48:00,2
2019-02-26 14:49:00,2
2019-02-26 14:50:00,2
2019-02-26 14:51:00,1
2019-02-26 14:52:00,1
2019-02-26 14:54:00,3
2019-02-26 14:55:00,3
2019-02-26 14:56:00,2
2019-02-26 14:57:00,2
2019-02-26 14:58:00,3
2019-02-26 14:59:00,1
2019-02-26 15:05:00,1
2019-02-26 20:03:00,1
