6719,select fieldid from field where medianpsfcolor_z between # and # and q_u between # and #
2019-02-26 10:29:00,4
2019-02-26 10:48:00,32
2019-02-26 10:49:00,54
2019-02-26 10:55:00,26
2019-02-26 10:56:00,8
2019-02-26 11:20:00,360
2019-02-26 11:21:00,116
2019-02-26 11:39:00,247
2019-02-26 11:40:00,407
2019-02-26 11:41:00,409
2019-02-26 11:42:00,346
2019-02-26 11:43:00,287
2019-02-26 11:44:00,354
2019-02-26 11:45:00,297
2019-02-26 11:46:00,14
2019-02-26 11:49:00,109
2019-02-26 11:50:00,252
2019-02-26 11:51:00,116
2019-02-26 11:52:00,61
2019-02-26 12:02:00,265
2019-02-26 12:03:00,63
2019-02-26 12:07:00,60
2019-02-26 12:08:00,99
2019-02-26 12:09:00,3
2019-02-26 12:56:00,264
2019-02-26 12:57:00,294
2019-02-26 12:58:00,205
2019-02-26 12:59:00,311
2019-02-26 13:05:00,45
2019-02-26 13:06:00,6
2019-02-26 13:07:00,304
2019-02-26 13:08:00,166
2019-02-26 13:35:00,154
2019-02-26 13:36:00,296
2019-02-26 13:37:00,444
2019-02-26 13:38:00,52
2019-02-26 13:42:00,20
2019-02-26 13:43:00,56
2019-02-26 13:44:00,38
2019-02-26 13:45:00,75
