22,"SELECT TOP #  s.plate,s.mjd,s.fiberid  FROM ..SpecObj as s  JOIN dbo.fGetNearbySpecObjEq(#,#,#) AS b ON b.SpecobjID = S.SpecobjID  WHERE s.zWarning = #"
2019-02-26 08:59:00,1
2019-02-26 09:17:00,1
2019-02-26 09:27:00,1
2019-02-26 09:32:00,1
2019-02-26 09:41:00,1
2019-02-26 09:49:00,1
2019-02-26 14:35:00,1
2019-02-26 14:37:00,2
2019-02-26 14:39:00,2
2019-02-26 14:40:00,2
2019-02-26 14:43:00,2
2019-02-26 14:45:00,2
2019-02-26 14:46:00,2
2019-02-26 14:47:00,1
2019-02-26 14:48:00,1
2019-02-26 14:49:00,1
