30,"SELECT TOP # objID, ra, dec, modelMag_u, modelMag_g, modelMag_r, modelMag_i, modelMag_z, clean FROM StarTag WHERE ra BETWEEN # AND # AND dec BETWEEN # AND # AND modelMag_r BETWEEN # AND # AND clean = #"
2019-02-26 00:00:00,1
2019-02-26 00:01:00,1
2019-02-26 00:03:00,1
2019-02-26 00:04:00,1
2019-02-26 00:06:00,1
2019-02-26 00:08:00,1
2019-02-26 00:15:00,1
2019-02-26 00:16:00,1
2019-02-26 00:28:00,1
2019-02-26 00:51:00,1
2019-02-26 01:02:00,1
2019-02-26 01:13:00,1
2019-02-26 01:24:00,1
2019-02-26 20:06:00,1
2019-02-26 20:12:00,1
2019-02-26 20:27:00,1
2019-02-26 20:40:00,1
2019-02-26 20:51:00,1
2019-02-26 21:02:00,1
2019-02-26 21:13:00,1
2019-02-26 21:24:00,1
2019-02-26 21:35:00,1
2019-02-26 21:47:00,1
2019-02-26 21:57:00,1
2019-02-26 22:08:00,1
2019-02-26 22:20:00,1
2019-02-26 22:31:00,1
2019-02-26 22:43:00,1
2019-02-26 22:54:00,1
2019-02-26 23:51:00,1
