122,select fieldid from field where skyslope_r between .# and .# and medianpsfcolor_r between # and #
2019-02-26 10:52:00,2
2019-02-26 10:57:00,5
2019-02-26 10:59:00,1
2019-02-26 11:07:00,3
2019-02-26 11:08:00,4
2019-02-26 11:09:00,1
2019-02-26 11:10:00,3
2019-02-26 11:11:00,5
2019-02-26 11:17:00,3
2019-02-26 11:24:00,3
2019-02-26 11:25:00,9
2019-02-26 11:26:00,5
2019-02-26 11:28:00,1
2019-02-26 11:35:00,2
2019-02-26 11:38:00,2
2019-02-26 11:39:00,1
2019-02-26 11:54:00,5
2019-02-26 11:55:00,6
2019-02-26 11:56:00,2
2019-02-26 11:57:00,3
2019-02-26 11:58:00,3
2019-02-26 11:59:00,1
2019-02-26 12:00:00,1
2019-02-26 12:01:00,1
2019-02-26 12:04:00,4
2019-02-26 12:05:00,4
2019-02-26 12:06:00,4
2019-02-26 12:24:00,3
2019-02-26 13:01:00,2
2019-02-26 13:02:00,3
2019-02-26 13:05:00,4
2019-02-26 13:08:00,3
2019-02-26 13:09:00,5
2019-02-26 13:15:00,5
2019-02-26 13:23:00,6
2019-02-26 13:24:00,2
2019-02-26 13:26:00,2
2019-02-26 13:43:00,3
