310,select fieldid from field where cccol_u between -.# and -.# and skyframes_r between # and #
2019-02-26 10:28:00,7
2019-02-26 10:33:00,1
2019-02-26 10:43:00,6
2019-02-26 10:45:00,2
2019-02-26 10:46:00,12
2019-02-26 11:03:00,4
2019-02-26 11:04:00,8
2019-02-26 11:05:00,7
2019-02-26 11:10:00,3
2019-02-26 11:11:00,4
2019-02-26 11:12:00,89
2019-02-26 11:19:00,30
2019-02-26 11:20:00,18
2019-02-26 11:24:00,4
2019-02-26 11:37:00,2
2019-02-26 11:42:00,2
2019-02-26 12:09:00,18
2019-02-26 12:15:00,11
2019-02-26 12:16:00,2
2019-02-26 12:17:00,2
2019-02-26 12:18:00,24
2019-02-26 12:52:00,7
2019-02-26 12:59:00,11
2019-02-26 13:00:00,13
2019-02-26 13:04:00,6
2019-02-26 13:19:00,7
2019-02-26 13:38:00,10
