9699,select fieldid from field where skyslope_r between # and # and medianpsfcolor_r between # and #
2019-02-26 10:26:00,3
2019-02-26 10:27:00,28
2019-02-26 10:31:00,45
2019-02-26 10:50:00,2
2019-02-26 10:51:00,293
2019-02-26 10:52:00,250
2019-02-26 10:55:00,156
2019-02-26 10:57:00,174
2019-02-26 10:59:00,183
2019-02-26 11:00:00,108
2019-02-26 11:01:00,62
2019-02-26 11:02:00,7
2019-02-26 11:06:00,197
2019-02-26 11:07:00,124
2019-02-26 11:08:00,333
2019-02-26 11:09:00,161
2019-02-26 11:10:00,239
2019-02-26 11:11:00,150
2019-02-26 11:12:00,15
2019-02-26 11:13:00,9
2019-02-26 11:14:00,1
2019-02-26 11:17:00,89
2019-02-26 11:18:00,6
2019-02-26 11:19:00,15
2019-02-26 11:21:00,42
2019-02-26 11:24:00,51
2019-02-26 11:25:00,292
2019-02-26 11:26:00,153
2019-02-26 11:28:00,47
2019-02-26 11:35:00,76
2019-02-26 11:38:00,44
2019-02-26 11:39:00,14
2019-02-26 11:52:00,63
2019-02-26 11:53:00,327
2019-02-26 11:54:00,405
2019-02-26 11:55:00,286
2019-02-26 11:56:00,306
2019-02-26 11:57:00,281
2019-02-26 11:58:00,279
2019-02-26 11:59:00,356
2019-02-26 12:00:00,307
2019-02-26 12:01:00,304
2019-02-26 12:03:00,45
2019-02-26 12:04:00,240
2019-02-26 12:05:00,288
2019-02-26 12:06:00,265
2019-02-26 12:07:00,153
2019-02-26 12:23:00,32
2019-02-26 12:24:00,144
2019-02-26 12:25:00,12
2019-02-26 12:30:00,209
2019-02-26 12:31:00,128
2019-02-26 12:32:00,66
2019-02-26 12:33:00,46
2019-02-26 13:01:00,179
2019-02-26 13:02:00,62
2019-02-26 13:03:00,51
2019-02-26 13:04:00,173
2019-02-26 13:05:00,168
2019-02-26 13:08:00,53
2019-02-26 13:09:00,215
2019-02-26 13:10:00,6
2019-02-26 13:15:00,93
2019-02-26 13:22:00,4
2019-02-26 13:23:00,171
2019-02-26 13:24:00,196
2019-02-26 13:25:00,40
2019-02-26 13:26:00,61
2019-02-26 13:32:00,23
2019-02-26 13:33:00,33
2019-02-26 13:41:00,15
2019-02-26 13:42:00,134
2019-02-26 13:43:00,19
2019-02-26 13:44:00,92
