5445,select fieldid from field where a_g between # and # and skyframes_g between # and #
2019-02-26 10:20:00,1
2019-02-26 10:26:00,15
2019-02-26 10:27:00,153
2019-02-26 10:28:00,22
2019-02-26 10:29:00,18
2019-02-26 10:30:00,8
2019-02-26 10:31:00,26
2019-02-26 10:32:00,161
2019-02-26 10:33:00,14
2019-02-26 10:39:00,24
2019-02-26 10:42:00,28
2019-02-26 10:43:00,2
2019-02-26 10:44:00,66
2019-02-26 10:45:00,13
2019-02-26 10:46:00,1
2019-02-26 10:49:00,21
2019-02-26 10:50:00,29
2019-02-26 10:51:00,36
2019-02-26 10:52:00,26
2019-02-26 10:53:00,4
2019-02-26 10:54:00,33
2019-02-26 10:55:00,89
2019-02-26 10:56:00,54
2019-02-26 10:57:00,35
2019-02-26 10:58:00,41
2019-02-26 10:59:00,31
2019-02-26 11:00:00,6
2019-02-26 11:01:00,12
2019-02-26 11:02:00,10
2019-02-26 11:03:00,15
2019-02-26 11:04:00,11
2019-02-26 11:05:00,9
2019-02-26 11:06:00,57
2019-02-26 11:07:00,14
2019-02-26 11:08:00,40
2019-02-26 11:09:00,18
2019-02-26 11:10:00,25
2019-02-26 11:11:00,43
2019-02-26 11:12:00,7
2019-02-26 11:13:00,1
2019-02-26 11:16:00,7
2019-02-26 11:17:00,37
2019-02-26 11:18:00,63
2019-02-26 11:19:00,12
2019-02-26 11:20:00,10
2019-02-26 11:21:00,157
2019-02-26 11:22:00,20
2019-02-26 11:24:00,85
2019-02-26 11:25:00,47
2019-02-26 11:26:00,73
2019-02-26 11:27:00,22
2019-02-26 11:28:00,27
2019-02-26 11:29:00,44
2019-02-26 11:31:00,2
2019-02-26 11:32:00,39
2019-02-26 11:33:00,40
2019-02-26 11:34:00,1
2019-02-26 11:35:00,16
2019-02-26 11:37:00,63
2019-02-26 11:38:00,82
2019-02-26 11:39:00,22
2019-02-26 11:45:00,7
2019-02-26 11:46:00,36
2019-02-26 11:47:00,3
2019-02-26 11:52:00,11
2019-02-26 11:53:00,24
2019-02-26 11:54:00,40
2019-02-26 11:55:00,26
2019-02-26 11:56:00,38
2019-02-26 11:57:00,28
2019-02-26 11:58:00,35
2019-02-26 12:02:00,1
2019-02-26 12:03:00,27
2019-02-26 12:04:00,37
2019-02-26 12:05:00,27
2019-02-26 12:06:00,33
2019-02-26 12:07:00,16
2019-02-26 12:08:00,3
2019-02-26 12:09:00,48
2019-02-26 12:10:00,32
2019-02-26 12:11:00,21
2019-02-26 12:12:00,41
2019-02-26 12:15:00,54
2019-02-26 12:16:00,17
2019-02-26 12:17:00,18
2019-02-26 12:18:00,47
2019-02-26 12:19:00,40
2019-02-26 12:20:00,44
2019-02-26 12:21:00,53
2019-02-26 12:22:00,12
2019-02-26 12:23:00,36
2019-02-26 12:24:00,116
2019-02-26 12:25:00,31
2019-02-26 12:26:00,48
2019-02-26 12:27:00,49
2019-02-26 12:28:00,49
2019-02-26 12:29:00,41
2019-02-26 12:30:00,40
2019-02-26 12:31:00,20
2019-02-26 12:32:00,28
2019-02-26 12:33:00,51
2019-02-26 12:34:00,77
2019-02-26 12:35:00,53
2019-02-26 12:36:00,49
2019-02-26 12:37:00,25
2019-02-26 12:38:00,37
2019-02-26 12:39:00,97
2019-02-26 12:40:00,13
2019-02-26 12:45:00,43
2019-02-26 12:46:00,46
2019-02-26 12:47:00,57
2019-02-26 12:48:00,50
2019-02-26 12:49:00,60
2019-02-26 12:50:00,49
2019-02-26 12:51:00,10
2019-02-26 12:52:00,36
2019-02-26 12:53:00,18
2019-02-26 12:54:00,41
2019-02-26 12:55:00,39
2019-02-26 12:56:00,2
2019-02-26 12:59:00,13
2019-02-26 13:00:00,73
2019-02-26 13:01:00,30
2019-02-26 13:02:00,10
2019-02-26 13:03:00,6
2019-02-26 13:04:00,18
2019-02-26 13:05:00,19
2019-02-26 13:08:00,10
2019-02-26 13:09:00,25
2019-02-26 13:15:00,14
2019-02-26 13:17:00,16
2019-02-26 13:18:00,44
2019-02-26 13:19:00,28
2019-02-26 13:20:00,14
2019-02-26 13:21:00,56
2019-02-26 13:22:00,200
2019-02-26 13:23:00,58
2019-02-26 13:24:00,22
2019-02-26 13:25:00,119
2019-02-26 13:26:00,79
2019-02-26 13:27:00,44
2019-02-26 13:28:00,40
2019-02-26 13:29:00,40
2019-02-26 13:30:00,11
2019-02-26 13:31:00,36
2019-02-26 13:32:00,8
2019-02-26 13:33:00,28
2019-02-26 13:34:00,2
2019-02-26 13:38:00,31
2019-02-26 13:39:00,36
2019-02-26 13:40:00,19
2019-02-26 13:41:00,33
2019-02-26 13:42:00,2
2019-02-26 13:43:00,4
2019-02-26 13:44:00,24
2019-02-26 13:45:00,10
2019-02-26 13:46:00,5
