19,"select top # p.ra, p.dec, p.deVRad_r, q.z from galaxy p, dbo.fgetNearbyObjEq(#,#,#) n, galSpecInfo q where p.objid=n.objid and p.specObjID=q.specObjID and p.specObjID<># and q.z># and abs(#*(#-q.z))<#"
2019-07-14 22:48:00,1
2019-07-14 22:50:00,1
2019-07-14 22:53:00,1
2019-07-14 22:57:00,1
2019-07-14 22:58:00,1
2019-07-14 23:05:00,2
2019-07-14 23:19:00,1
2019-07-14 23:20:00,1
2019-07-14 23:23:00,1
2019-07-14 23:26:00,2
2019-07-14 23:27:00,2
2019-07-14 23:30:00,1
2019-07-14 23:32:00,1
2019-07-14 23:33:00,1
2019-07-14 23:37:00,1
2019-07-14 23:38:00,1
