417,"SELECT p.objid, p.ra, p.dec,p.dered_u,p.dered_g,p.dered_r,p.dered_i,p.dered_z,p.clean,p.flags                 , z.z as photoz,z.zErr as photozErr, s.z_noqso as specz,s.zErr_noqso as speczErr                 , dbo.fPhotoFlagsN(p.flags) as note                 FROM GALAXY as p                 LEFT OUTER JOIN photoz as z ON z.objID = p.objID                 LEFT OUTER JOIN specObjAll as s ON s.bestObjID = p.objID                 , dbo.fGetNearbyObjEq(#,#,#) as near                 WHERE p.objID = near.objID AND                  ((flags & #)!=#) AND ((flags & #)=#) AND                  ((flags & #)=#) AND ((flags & #)!=#)"
2019-07-14 13:26:00,2
2019-07-14 13:27:00,5
2019-07-14 13:28:00,8
2019-07-14 13:29:00,10
2019-07-14 13:30:00,5
2019-07-14 13:31:00,3
2019-07-14 13:32:00,7
2019-07-14 13:33:00,7
2019-07-14 13:34:00,13
2019-07-14 13:35:00,16
2019-07-14 13:36:00,19
2019-07-14 13:37:00,15
2019-07-14 13:38:00,6
2019-07-14 13:39:00,12
2019-07-14 13:40:00,10
2019-07-14 13:41:00,10
2019-07-14 13:42:00,8
2019-07-14 13:43:00,5
2019-07-14 13:44:00,6
2019-07-14 13:45:00,7
2019-07-14 13:46:00,2
2019-07-14 13:47:00,1
2019-07-14 13:48:00,15
2019-07-14 13:49:00,2
2019-07-14 13:50:00,11
2019-07-14 13:51:00,10
2019-07-14 13:52:00,9
2019-07-14 13:53:00,9
2019-07-14 13:54:00,6
2019-07-14 13:55:00,3
2019-07-14 13:56:00,2
2019-07-14 13:57:00,1
2019-07-14 15:08:00,1
2019-07-14 15:09:00,5
2019-07-14 15:10:00,6
2019-07-14 15:11:00,6
2019-07-14 15:12:00,3
2019-07-14 15:13:00,3
2019-07-14 15:14:00,1
2019-07-14 15:15:00,4
2019-07-14 15:16:00,6
2019-07-14 15:17:00,6
2019-07-14 15:18:00,6
2019-07-14 15:19:00,6
2019-07-14 15:20:00,10
2019-07-14 15:21:00,8
2019-07-14 15:22:00,15
2019-07-14 15:23:00,16
2019-07-14 15:24:00,14
2019-07-14 15:25:00,15
2019-07-14 15:26:00,12
2019-07-14 15:27:00,9
2019-07-14 15:28:00,7
2019-07-14 15:29:00,7
2019-07-14 15:30:00,6
