23,"select pa.objID, pa.ra, pa.dec,   pa.dered_u, pa.modelMag_u, pa.modelMagErr_u,     pa.dered_g, pa.modelMag_g, pa.modelMagErr_g,   pa.dered_r, pa.modelMag_r, pa.modelMagErr_r,   pa.dered_i, pa.modelMag_i, pa.modelMagErr_i,   pa.dered_z, pa.modelMag_z, pa.modelMagErr_z  into mydb.S8#PhotoObj_#B from PhotoObjAll as pa  WHERE (pa.dec between #. and #)   and (pa.ra between # and #)   and ((pa.flags & #)=#)   and ((pa.flags & #)=#)   and ((pa.flags & #)=# or pa.psfMagErr_r<=#)   and ((pa.flags & #)=#)"
2019-06-28 05:01:00,1
2019-06-28 05:07:00,1
2019-06-28 05:15:00,1
2019-06-28 05:20:00,1
2019-06-28 05:23:00,1
2019-06-28 05:25:00,1
2019-06-28 05:30:00,1
2019-06-28 05:34:00,1
2019-06-28 05:42:00,1
2019-06-28 05:47:00,1
2019-06-28 05:52:00,1
2019-06-28 05:56:00,1
2019-06-28 06:00:00,1
2019-06-28 06:05:00,1
2019-06-28 06:10:00,1
2019-06-28 06:16:00,1
2019-06-28 06:24:00,1
2019-06-28 06:32:00,1
2019-06-28 06:46:00,1
2019-06-28 06:56:00,1
2019-06-28 07:03:00,1
2019-06-28 07:06:00,1
2019-06-28 07:11:00,1
