52,"select [enum], [name], [type], [length], [unit], [ucd], [description] from dbo.fDocColumns(&&&) ORDER BY [columnID]"
2019-06-28 00:21:00,1
2019-06-28 00:29:00,1
2019-06-28 00:43:00,1
2019-06-28 01:34:00,1
2019-06-28 01:35:00,1
2019-06-28 03:05:00,1
2019-06-28 03:11:00,1
2019-06-28 04:12:00,1
2019-06-28 04:14:00,1
2019-06-28 04:19:00,1
2019-06-28 04:21:00,1
2019-06-28 05:36:00,1
2019-06-28 05:59:00,1
2019-06-28 06:00:00,1
2019-06-28 06:01:00,1
2019-06-28 06:02:00,3
2019-06-28 06:03:00,2
2019-06-28 06:04:00,1
2019-06-28 06:09:00,1
2019-06-28 06:10:00,1
2019-06-28 06:17:00,1
2019-06-28 06:28:00,1
2019-06-28 06:30:00,1
2019-06-28 07:09:00,2
2019-06-28 07:14:00,1
2019-06-28 09:14:00,1
2019-06-28 09:43:00,1
2019-06-28 11:11:00,2
2019-06-28 11:33:00,1
2019-06-28 11:50:00,1
2019-06-28 11:54:00,1
2019-06-28 11:58:00,1
2019-06-28 12:36:00,1
2019-06-28 13:24:00,1
2019-06-28 14:02:00,1
2019-06-28 14:04:00,1
2019-06-28 14:10:00,1
2019-06-28 14:34:00,1
2019-06-28 16:03:00,1
2019-06-28 16:10:00,1
2019-06-28 16:11:00,1
2019-06-28 18:40:00,1
2019-06-28 20:07:00,1
2019-06-28 20:29:00,1
2019-06-28 20:30:00,1
2019-06-28 21:43:00,2
