3,"select s.objTypeName, p.objID, s.z as redshift, p.g from photoObj p, SpecObj s WHERE s.objType=# and p.g > # and p.g < # and p.specObjID=s.specObjID and p.ra BETWEEN # AND # AND p.dec BETWEEN # AND # order by p.g"
2019-06-28 03:24:00,1
2019-06-28 03:28:00,2
