23,"select pa.objID, pa.ra, pa.dec,   pa.dered_u, pa.modelMag_u, pa.modelMagErr_u,     pa.dered_g, pa.modelMag_g, pa.modelMagErr_g,   pa.dered_r, pa.modelMag_r, pa.modelMagErr_r,   pa.dered_i, pa.modelMag_i, pa.modelMagErr_i,   pa.dered_z, pa.modelMag_z, pa.modelMagErr_z  into mydb.S8#PhotoObj_#A from PhotoObjAll as pa  WHERE (pa.dec between # and #.)   and (pa.ra between # and #)   and ((pa.flags & #)=#)   and ((pa.flags & #)=#)   and ((pa.flags & #)=# or pa.psfMagErr_r<=#)   and ((pa.flags & #)=#)"
2019-06-28 02:54:00,1
2019-06-28 02:56:00,1
2019-06-28 03:00:00,1
2019-06-28 03:08:00,1
2019-06-28 03:14:00,1
2019-06-28 03:20:00,1
2019-06-28 03:23:00,1
2019-06-28 03:32:00,1
2019-06-28 03:35:00,1
2019-06-28 03:38:00,1
2019-06-28 03:42:00,1
2019-06-28 03:45:00,1
2019-06-28 03:49:00,1
2019-06-28 03:52:00,1
2019-06-28 03:57:00,1
2019-06-28 04:01:00,1
2019-06-28 04:02:00,1
2019-06-28 04:06:00,1
2019-06-28 04:12:00,1
2019-06-28 04:21:00,1
2019-06-28 04:32:00,1
2019-06-28 04:50:00,1
2019-06-28 04:53:00,1
