5,"SELECT ra, dec, dered_g,dered_r,dered_u,flags,psfMag_r,psfMag_g into mydb.NGC5#_test2 from Star WHERE (ra BETWEEN # and #) AND   (dec BETWEEN # and #)"
2019-06-28 06:08:00,1
2019-06-28 12:22:00,2
2019-06-28 12:24:00,2
